RFM_SUPPLY_TIERS_1	RFM_SUPPLY_TIERS_2	RFM_SUPPLY_TIERS_3	ConsumeFuelTier
All_DistOil	2020	0	0.0
All_DistOil	2030	0	0.0
All_NG	2020	0	615236.6896265887
All_NG	2020	1	0.0
All_NG	2030	0	220997.87279999998
All_NG	2030	1	0.0
North_Bio	2020	0	0.0
North_Bio	2020	1	0.0
North_Bio	2030	0	0.0
North_Bio	2030	1	0.0
South_Bio	2020	0	0.0
South_Bio	2020	1	0.0
South_Bio	2030	0	0.0
South_Bio	2030	1	0.0
North_Uranium	2020	0	0.0
Central_Uranium	2020	0	0.0
South_Uranium	2020	0	0.0
North_Uranium	2030	0	0.0
Central_Uranium	2030	0	0.0
South_Uranium	2030	0	0.0
North_Coal	2020	0	133488.282528
Central_Coal	2020	0	140904.298224
North_Coal	2030	0	185730.59110680746
Central_Coal	2030	0	56420.78112
North_ResidualFuelOil	2020	0	0.0
Central_ResidualFuelOil	2020	0	0.0
South_ResidualFuelOil	2020	0	0.0
North_ResidualFuelOil	2030	0	0.0
Central_ResidualFuelOil	2030	0	0.0
South_ResidualFuelOil	2030	0	0.0
