load_zone	timestamp	ZoneTotalCentralDispatch	TXPowerNet	WithdrawFromCentralGrid
North	2025011500	4.54058	0.73925	5.27983
North	2025011512	4.22386	0	4.22386
North	2025011600	4.54058	0.211267	4.75185
North	2025011612	4.43506	0	4.43506
North	2025061500	4.54058	-0.316716	4.22386
North	2025061512	6.3358	0	6.3358
North	2035011512	9.3358	-3	6.3358
Central	2025011500	3.572	0.335075	3.90707
Central	2025011512	3.1679	0	3.1679
Central	2025011600	3.572	0.229478	3.80148
Central	2025011612	3.48469	0	3.48469
Central	2025061500	3.75958	-0.591684	3.1679
Central	2025061512	5.452	-1.22814	4.22386
Central	2035011512	9.6816	-4.82415	4.85744
South	2025011500	7.51146	-1.17567	6.3358
South	2025011512	7.39176	0	7.39176
South	2025011600	7.34202	-0.478243	6.86378
South	2025011612	7.60296	0	7.60296
South	2025061500	7.60574	0.841987	8.44773
South	2025061512	9.40522	1.15445	10.5597
South	2035011512	3.84574	7.2419	11.0876
