GEN_TPS_1	GEN_TPS_2	DispatchGen
N-Geothermal	1	0.9685807500000002
N-Geothermal	2	0.9685807500000002
N-Geothermal	3	0.9685807500000002
N-Geothermal	4	0.9685807500000002
N-Geothermal	5	0.9685807500000002
N-Geothermal	6	0.9685807500000002
N-Geothermal	7	0.9685807500000002
N-Coal_IGCC	1	0.0
N-Coal_IGCC	2	0.0
N-Coal_IGCC	3	0.0
N-Coal_IGCC	4	0.0
N-Coal_IGCC	5	0.0
N-Coal_IGCC	6	0.0
N-Coal_IGCC	7	0.0
N-Coal_IGCC_CCS	1	0.0
N-Coal_IGCC_CCS	2	0.0
N-Coal_IGCC_CCS	3	0.0
N-Coal_IGCC_CCS	4	0.0
N-Coal_IGCC_CCS	5	0.0
N-Coal_IGCC_CCS	6	0.0
N-Coal_IGCC_CCS	7	0.0
N-Coal_ST	1	1.6919999999999997
N-Coal_ST	2	1.6919999999999997
N-Coal_ST	3	1.6919999999999997
N-Coal_ST	4	1.6919999999999997
N-Coal_ST	5	1.6919999999999997
N-Coal_ST	6	1.6919999999999997
N-Coal_ST	7	1.6919999999999997
N-NG_CC	1	1.88
N-NG_CC	2	1.5632840863252384
N-NG_CC	3	1.88
N-NG_CC	4	1.7744773281415003
N-NG_CC	5	1.6071190704480558
N-NG_CC	6	1.88
N-NG_CC	7	1.88
N-NG_CC_CCS	1	0.0
N-NG_CC_CCS	2	0.0
N-NG_CC_CCS	3	0.0
N-NG_CC_CCS	4	0.0
N-NG_CC_CCS	5	0.0
N-NG_CC_CCS	6	0.0
N-NG_CC_CCS	7	0.0
N-NG_GT	1	0.0
N-NG_GT	2	0.0
N-NG_GT	3	0.0
N-NG_GT	4	0.0
N-NG_GT	5	0.0
N-NG_GT	6	1.7952165044878576
N-NG_GT	7	0.0
N-Nuclear	1	0.0
N-Nuclear	2	0.0
N-Nuclear	3	0.0
N-Nuclear	4	0.0
N-Nuclear	5	0.0
N-Nuclear	6	0.0
N-Nuclear	7	0.0
N-Biomass_IGCC	1	0.0
N-Biomass_IGCC	2	0.0
N-Biomass_IGCC	3	0.0
N-Biomass_IGCC	4	0.0
N-Biomass_IGCC	5	0.0
N-Biomass_IGCC	6	0.0
N-Biomass_IGCC	7	0.0
N-Biomass_IGCC_CCS	1	0.0
N-Biomass_IGCC_CCS	2	0.0
N-Biomass_IGCC_CCS	3	0.0
N-Biomass_IGCC_CCS	4	0.0
N-Biomass_IGCC_CCS	5	0.0
N-Biomass_IGCC_CCS	6	0.0
N-Biomass_IGCC_CCS	7	0.0
N-Residential_PV	1	0.0
N-Residential_PV	2	0.0
N-Residential_PV	3	0.0
N-Residential_PV	4	0.0
N-Residential_PV	5	0.0
N-Residential_PV	6	0.0
N-Residential_PV	7	0.0
N-Commercial_PV	1	0.0
N-Commercial_PV	2	0.0
N-Commercial_PV	3	0.0
