ZONE_TIMEPOINTS_1	ZONE_TIMEPOINTS_2	WithdrawFromCentralGrid
North	1	5.279831045406548
North	2	4.223864836325238
North	3	4.751847940865893
North	4	4.4350580781415
North	5	4.223864836325238
North	6	6.335797254487858
North	7	6.335797254487858
Central	1	3.9070749736008454
Central	2	3.167898627243929
Central	3	3.8014783526927145
Central	4	3.4846884899683213
Central	5	3.167898627243929
Central	6	4.223864836325238
Central	7	4.857444561774024
South	1	6.335797254487858
South	2	7.391763463569167
South	3	6.863780359028512
South	4	7.602956705385429
South	5	8.447729672650476
South	6	10.559662090813095
South	7	11.087645195353751
