load_zone	timestamp	ZoneTotalCentralDispatch	TXPowerNet	WithdrawFromCentralGrid
North	2025011500	4.54058	0.73925	5.27983
North	2025011512	4.22386	0	4.22386
North	2025011600	3.91122	0.840623	4.75185
North	2025011612	4.43506	0	4.43506
North	2025061500	3.63491	0.588958	4.22386
North	2025061512	6.3358	0	6.3358
North	2035011512	6.70616	-0.370363	6.3358
Central	2025011500	4.67713	-0.770052	3.90707
Central	2025011512	3.1679	0	3.1679
Central	2025011600	4.67713	-0.875649	3.80148
Central	2025011612	3.48469	0	3.48469
Central	2025061500	4.67713	-1.50923	3.1679
Central	2025061512	6.55713	-2.33326	4.22386
Central	2035011512	13.206	-8.3486	4.85744
South	2025011500	6.3358	0	6.3358
South	2025011512	7.39176	0	7.39176
South	2025011600	6.86378	0	6.86378
South	2025011612	7.60296	0	7.60296
South	2025061500	7.60574	0.841987	8.44773
South	2025061512	8.3664	2.19327	10.5597
South	2035011512	2.90574	8.1819	11.0876
