load_zone	fuel	period_temp	fuel_cost
Anhui	Bio_Solid	2016	2.028500431
Anhui	Bio_Solid	2021	2.028500431
Anhui	Bio_Solid	2026	2.028500431
Anhui	Bio_Solid	2031	2.028500431
Anhui	Bio_Solid	2036	2.028500431
Anhui	Bio_Solid_CCS	2016	2.028500431
Anhui	Bio_Solid_CCS	2021	2.028500431
Anhui	Bio_Solid_CCS	2026	2.028500431
Anhui	Bio_Solid_CCS	2031	2.028500431
Anhui	Bio_Solid_CCS	2036	2.028500431
Anhui	Coal	2016	4.5141266354
Anhui	Coal	2021	4.7459505424
Anhui	Coal	2026	4.9867898238
Anhui	Coal	2031	5.2417961216
Anhui	Coal	2036	5.503956954
Anhui	Coal_CCS	2016	4.5141266354
Anhui	Coal_CCS	2021	4.7459505424
Anhui	Coal_CCS	2026	4.9867898238
Anhui	Coal_CCS	2031	5.2417961216
Anhui	Coal_CCS	2036	5.503956954
Anhui	DistillateFuelOil	2016	18.804
Anhui	DistillateFuelOil	2021	20.612
Anhui	DistillateFuelOil	2026	21.892
Anhui	DistillateFuelOil	2031	22.568
Anhui	DistillateFuelOil	2036	24.73028897
Anhui	DistillateFuelOil_CCS	2016	18.804
Anhui	DistillateFuelOil_CCS	2021	20.612
Anhui	DistillateFuelOil_CCS	2026	21.892
Anhui	DistillateFuelOil_CCS	2031	22.568
Anhui	DistillateFuelOil_CCS	2036	24.73028897
Anhui	Gas	2016	13.148208292
Anhui	Gas	2021	14.831222524
Anhui	Gas	2026	16.525130052
Anhui	Gas	2031	17.766965796
Anhui	Gas	2036	18.67264782
Anhui	Gas_CCS	2016	13.148208292
Anhui	Gas_CCS	2021	14.831222524
Anhui	Gas_CCS	2026	16.525130052
Anhui	Gas_CCS	2031	17.766965796
Anhui	Gas_CCS	2036	18.67264782
Anhui	ResidualFuelOil	2016	14.346
Anhui	ResidualFuelOil	2021	15.704
Anhui	ResidualFuelOil	2026	16.756
Anhui	ResidualFuelOil	2031	16.762
Anhui	ResidualFuelOil	2036	18.857248678
Anhui	ResidualFuelOil_CCS	2016	14.346
Anhui	ResidualFuelOil_CCS	2021	15.704
Anhui	ResidualFuelOil_CCS	2026	16.756
Anhui	ResidualFuelOil_CCS	2031	16.762
Anhui	ResidualFuelOil_CCS	2036	18.857248678
Anhui	Uranium	2016	2.198
Anhui	Uranium	2021	2.202
Anhui	Uranium	2026	2.202
Anhui	Uranium	2031	2.2
Anhui	Uranium	2036	2.591611722
Beijing	Bio_Solid	2016	2.028500431
Beijing	Bio_Solid	2021	2.028500431
Beijing	Bio_Solid	2026	2.028500431
Beijing	Bio_Solid	2031	2.028500431
Beijing	Bio_Solid	2036	2.028500431
Beijing	Bio_Solid_CCS	2016	2.028500431
Beijing	Bio_Solid_CCS	2021	2.028500431
Beijing	Bio_Solid_CCS	2026	2.028500431
Beijing	Bio_Solid_CCS	2031	2.028500431
Beijing	Bio_Solid_CCS	2036	2.028500431
Beijing	Coal	2016	4.833528463
Beijing	Coal	2021	5.0808072972
Beijing	Coal	2026	5.3396773268
Beijing	Coal	2031	5.6114264624
Beijing	Coal	2036	5.8944501884
Beijing	Coal_CCS	2016	4.833528463
Beijing	Coal_CCS	2021	5.0808072972
Beijing	Coal_CCS	2026	5.3396773268
Beijing	Coal_CCS	2031	5.6114264624
Beijing	Coal_CCS	2036	5.8944501884
Beijing	DistillateFuelOil	2016	18.804
Beijing	DistillateFuelOil	2021	20.612
Beijing	DistillateFuelOil	2026	21.892
Beijing	DistillateFuelOil	2031	22.568
Beijing	DistillateFuelOil	2036	24.73028897
Beijing	DistillateFuelOil_CCS	2016	18.804
Beijing	DistillateFuelOil_CCS	2021	20.612
Beijing	DistillateFuelOil_CCS	2026	21.892
Beijing	DistillateFuelOil_CCS	2031	22.568
Beijing	DistillateFuelOil_CCS	2036	24.73028897
Beijing	Gas	2016	13.148208292
Beijing	Gas	2021	14.831222524
Beijing	Gas	2026	16.525130052
Beijing	Gas	2031	17.766965796
Beijing	Gas	2036	18.67264782
Beijing	Gas_CCS	2016	13.148208292
Beijing	Gas_CCS	2021	14.831222524
Beijing	Gas_CCS	2026	16.525130052
Beijing	Gas_CCS	2031	17.766965796
Beijing	Gas_CCS	2036	18.67264782
Beijing	ResidualFuelOil	2016	14.346
Beijing	ResidualFuelOil	2021	15.704
Beijing	ResidualFuelOil	2026	16.756
Beijing	ResidualFuelOil	2031	16.762
Beijing	ResidualFuelOil	2036	18.857248678
Beijing	ResidualFuelOil_CCS	2016	14.346
Beijing	ResidualFuelOil_CCS	2021	15.704
Beijing	ResidualFuelOil_CCS	2026	16.756
Beijing	ResidualFuelOil_CCS	2031	16.762
Beijing	ResidualFuelOil_CCS	2036	18.857248678
Beijing	Uranium	2016	2.198
Beijing	Uranium	2021	2.202
Beijing	Uranium	2026	2.202
Beijing	Uranium	2031	2.2
Beijing	Uranium	2036	2.591611722
Chongqing	Bio_Solid	2016	2.028500431
Chongqing	Bio_Solid	2021	2.028500431
Chongqing	Bio_Solid	2026	2.028500431
Chongqing	Bio_Solid	2031	2.028500431
Chongqing	Bio_Solid	2036	2.028500431
Chongqing	Bio_Solid_CCS	2016	2.028500431
Chongqing	Bio_Solid_CCS	2021	2.028500431
Chongqing	Bio_Solid_CCS	2026	2.028500431
Chongqing	Bio_Solid_CCS	2031	2.028500431
Chongqing	Bio_Solid_CCS	2036	2.028500431
Chongqing	Coal	2016	3.7439560996
Chongqing	Coal	2021	3.9345668678
Chongqing	Coal	2026	4.1354809206
Chongqing	Coal	2031	4.346698258
Chongqing	Coal	2036	4.5806660618
Chongqing	Coal_CCS	2016	3.7439560996
Chongqing	Coal_CCS	2021	3.9345668678
Chongqing	Coal_CCS	2026	4.1354809206
Chongqing	Coal_CCS	2031	4.346698258
