GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om	gen_storage_energy_overnight_cost
2	2016	1665685.4	8328.4	.
2	2021	1500000.0	7500.0	.
2	2026	1500000.0	7500.0	.
2	2031	1500000.0	7500.0	.
2	2036	1500000.0	7500.0	.
3	2016	1665685.4	8328.4	.
3	2021	1500000.0	7500.0	.
3	2026	1500000.0	7500.0	.
3	2031	1500000.0	7500.0	.
3	2036	1500000.0	7500.0	.
4	2016	1665685.4	8328.4	.
4	2021	1500000.0	7500.0	.
4	2026	1500000.0	7500.0	.
4	2031	1500000.0	7500.0	.
4	2036	1500000.0	7500.0	.
5	2016	1665685.4	8328.4	.
5	2021	1500000.0	7500.0	.
5	2026	1500000.0	7500.0	.
5	2031	1500000.0	7500.0	.
5	2036	1500000.0	7500.0	.
6	2016	1665685.4	8328.4	.
6	2021	1500000.0	7500.0	.
6	2026	1500000.0	7500.0	.
6	2031	1500000.0	7500.0	.
6	2036	1500000.0	7500.0	.
7	2016	1665685.4	8328.4	.
7	2021	1500000.0	7500.0	.
7	2026	1500000.0	7500.0	.
7	2031	1500000.0	7500.0	.
7	2036	1500000.0	7500.0	.
8	2016	1665685.4	8328.4	.
8	2021	1500000.0	7500.0	.
8	2026	1500000.0	7500.0	.
8	2031	1500000.0	7500.0	.
8	2036	1500000.0	7500.0	.
9	2016	1665685.4	8328.4	.
9	2021	1500000.0	7500.0	.
9	2026	1500000.0	7500.0	.
9	2031	1500000.0	7500.0	.
9	2036	1500000.0	7500.0	.
10	2016	1665685.4	8328.4	.
10	2021	1500000.0	7500.0	.
10	2026	1500000.0	7500.0	.
10	2031	1500000.0	7500.0	.
10	2036	1500000.0	7500.0	.
11	2016	1665685.4	8328.4	.
11	2021	1500000.0	7500.0	.
11	2026	1500000.0	7500.0	.
11	2031	1500000.0	7500.0	.
11	2036	1500000.0	7500.0	.
12	2016	1665685.4	8328.4	.
12	2021	1500000.0	7500.0	.
12	2026	1500000.0	7500.0	.
12	2031	1500000.0	7500.0	.
12	2036	1500000.0	7500.0	.
13	2016	1665685.4	8328.4	.
13	2021	1500000.0	7500.0	.
13	2026	1500000.0	7500.0	.
13	2031	1500000.0	7500.0	.
13	2036	1500000.0	7500.0	.
14	2016	1665685.4	8328.4	.
14	2021	1500000.0	7500.0	.
14	2026	1500000.0	7500.0	.
14	2031	1500000.0	7500.0	.
14	2036	1500000.0	7500.0	.
15	2016	1665685.4	8328.4	.
15	2021	1500000.0	7500.0	.
15	2026	1500000.0	7500.0	.
15	2031	1500000.0	7500.0	.
15	2036	1500000.0	7500.0	.
16	2016	1665685.4	8328.4	.
16	2021	1500000.0	7500.0	.
16	2026	1500000.0	7500.0	.
16	2031	1500000.0	7500.0	.
16	2036	1500000.0	7500.0	.
17	2016	1665685.4	8328.4	.
17	2021	1500000.0	7500.0	.
17	2026	1500000.0	7500.0	.
17	2031	1500000.0	7500.0	.
17	2036	1500000.0	7500.0	.
18	2016	1665685.4	8328.4	.
18	2021	1500000.0	7500.0	.
18	2026	1500000.0	7500.0	.
18	2031	1500000.0	7500.0	.
18	2036	1500000.0	7500.0	.
19	2016	1665685.4	8328.4	.
19	2021	1500000.0	7500.0	.
19	2026	1500000.0	7500.0	.
19	2031	1500000.0	7500.0	.
19	2036	1500000.0	7500.0	.
20	2016	1665685.4	8328.4	.
20	2021	1500000.0	7500.0	.
20	2026	1500000.0	7500.0	.
20	2031	1500000.0	7500.0	.
20	2036	1500000.0	7500.0	.
21	2016	1665685.4	8328.4	.
21	2021	1500000.0	7500.0	.
21	2026	1500000.0	7500.0	.
21	2031	1500000.0	7500.0	.
21	2036	1500000.0	7500.0	.
22	2016	1665685.4	8328.4	.
22	2021	1500000.0	7500.0	.
22	2026	1500000.0	7500.0	.
22	2031	1500000.0	7500.0	.
22	2036	1500000.0	7500.0	.
23	2016	1665685.4	8328.4	.
23	2021	1500000.0	7500.0	.
23	2026	1500000.0	7500.0	.
23	2031	1500000.0	7500.0	.
23	2036	1500000.0	7500.0	.
24	2016	1665685.4	8328.4	.
24	2021	1500000.0	7500.0	.
24	2026	1500000.0	7500.0	.
24	2031	1500000.0	7500.0	.
24	2036	1500000.0	7500.0	.
25	2016	1665685.4	8328.4	.
25	2021	1500000.0	7500.0	.
25	2026	1500000.0	7500.0	.
25	2031	1500000.0	7500.0	.
25	2036	1500000.0	7500.0	.
26	2016	1665685.4	8328.4	.
26	2021	1500000.0	7500.0	.
26	2026	1500000.0	7500.0	.
26	2031	1500000.0	7500.0	.
26	2036	1500000.0	7500.0	.
27	2016	1665685.4	8328.4	.
27	2021	1500000.0	7500.0	.
27	2026	1500000.0	7500.0	.
27	2031	1500000.0	7500.0	.
27	2036	1500000.0	7500.0	.
28	2016	1665685.4	8328.4	.
28	2021	1500000.0	7500.0	.
28	2026	1500000.0	7500.0	.
28	2031	1500000.0	7500.0	.
28	2036	1500000.0	7500.0	.
29	2016	1665685.4	8328.4	.
29	2021	1500000.0	7500.0	.
29	2026	1500000.0	7500.0	.
29	2031	1500000.0	7500.0	.
29	2036	1500000.0	7500.0	.
30	2016	1665685.4	8328.4	.
30	2021	1500000.0	7500.0	.
30	2026	1500000.0	7500.0	.
30	2031	1500000.0	7500.0	.
30	2036	1500000.0	7500.0	.
31	2016	1665685.4	8328.4	.
31	2021	1500000.0	7500.0	.
31	2026	1500000.0	7500.0	.
31	2031	1500000.0	7500.0	.
31	2036	1500000.0	7500.0	.
32	2016	1665685.4	8328.4	.
32	2021	1500000.0	7500.0	.
32	2026	1500000.0	7500.0	.
32	2031	1500000.0	7500.0	.
32	2036	1500000.0	7500.0	.
33	2016	1665685.4	8328.4	.
33	2021	1500000.0	7500.0	.
33	2026	1500000.0	7500.0	.
33	2031	1500000.0	7500.0	.
33	2036	1500000.0	7500.0	.
34	2016	1665685.4	8328.4	.
34	2021	1500000.0	7500.0	.
34	2026	1500000.0	7500.0	.
34	2031	1500000.0	7500.0	.
34	2036	1500000.0	7500.0	.
35	2016	1665685.4	8328.4	.
35	2021	1500000.0	7500.0	.
35	2026	1500000.0	7500.0	.
35	2031	1500000.0	7500.0	.
35	2036	1500000.0	7500.0	.
36	2016	1665685.4	8328.4	.
36	2021	1500000.0	7500.0	.
36	2026	1500000.0	7500.0	.
36	2031	1500000.0	7500.0	.
36	2036	1500000.0	7500.0	.
37	2016	1665685.4	8328.4	.
37	2021	1500000.0	7500.0	.
37	2026	1500000.0	7500.0	.
37	2031	1500000.0	7500.0	.
37	2036	1500000.0	7500.0	.
38	2016	1665685.4	8328.4	.
38	2021	1500000.0	7500.0	.
38	2026	1500000.0	7500.0	.
38	2031	1500000.0	7500.0	.
38	2036	1500000.0	7500.0	.
39	2016	1665685.4	8328.4	.
39	2021	1500000.0	7500.0	.
39	2026	1500000.0	7500.0	.
39	2031	1500000.0	7500.0	.
39	2036	1500000.0	7500.0	.
40	2016	1665685.4	8328.4	.
40	2021	1500000.0	7500.0	.
40	2026	1500000.0	7500.0	.
40	2031	1500000.0	7500.0	.
40	2036	1500000.0	7500.0	.
41	2016	1665685.4	8328.4	.
41	2021	1500000.0	7500.0	.
41	2026	1500000.0	7500.0	.
41	2031	1500000.0	7500.0	.
41	2036	1500000.0	7500.0	.
42	2016	1665685.4	8328.4	.
42	2021	1500000.0	7500.0	.
42	2026	1500000.0	7500.0	.
42	2031	1500000.0	7500.0	.
42	2036	1500000.0	7500.0	.
43	2016	1665685.4	8328.4	.
43	2021	1500000.0	7500.0	.
43	2026	1500000.0	7500.0	.
43	2031	1500000.0	7500.0	.
43	2036	1500000.0	7500.0	.
44	2016	1665685.4	8328.4	.
44	2021	1500000.0	7500.0	.
44	2026	1500000.0	7500.0	.
44	2031	1500000.0	7500.0	.
44	2036	1500000.0	7500.0	.
45	2016	1665685.4	8328.4	.
45	2021	1500000.0	7500.0	.
45	2026	1500000.0	7500.0	.
45	2031	1500000.0	7500.0	.
45	2036	1500000.0	7500.0	.
46	2016	1665685.4	8328.4	.
46	2021	1500000.0	7500.0	.
46	2026	1500000.0	7500.0	.
46	2031	1500000.0	7500.0	.
46	2036	1500000.0	7500.0	.
47	2016	1665685.4	8328.4	.
47	2021	1500000.0	7500.0	.
47	2026	1500000.0	7500.0	.
47	2031	1500000.0	7500.0	.
47	2036	1500000.0	7500.0	.
48	2016	1665685.4	8328.4	.
48	2021	1500000.0	7500.0	.
48	2026	1500000.0	7500.0	.
48	2031	1500000.0	7500.0	.
48	2036	1500000.0	7500.0	.
49	2016	1665685.4	8328.4	.
49	2021	1500000.0	7500.0	.
49	2026	1500000.0	7500.0	.
49	2031	1500000.0	7500.0	.
49	2036	1500000.0	7500.0	.
50	2016	1665685.4	8328.4	.
50	2021	1500000.0	7500.0	.
50	2026	1500000.0	7500.0	.
50	2031	1500000.0	7500.0	.
50	2036	1500000.0	7500.0	.
51	2016	1665685.4	8328.4	.
51	2021	1500000.0	7500.0	.
51	2026	1500000.0	7500.0	.
51	2031	1500000.0	7500.0	.
51	2036	1500000.0	7500.0	.
52	2016	1665685.4	8328.4	.
52	2021	1500000.0	7500.0	.
52	2026	1500000.0	7500.0	.
52	2031	1500000.0	7500.0	.
52	2036	1500000.0	7500.0	.
53	2016	1665685.4	8328.4	.
53	2021	1500000.0	7500.0	.
53	2026	1500000.0	7500.0	.
53	2031	1500000.0	7500.0	.
53	2036	1500000.0	7500.0	.
54	2016	1665685.4	8328.4	.
54	2021	1500000.0	7500.0	.
54	2026	1500000.0	7500.0	.
54	2031	1500000.0	7500.0	.
