GENERATION_PROJECT	build_year	gen_predetermined_cap
80928	2004	1229.999542
80934	2010	2829.999619
70042	2010	167.0490439
70040	2010	1584.38242
70037	2010	730.3833333
80933	2009	2829.999771
80650	1995	300.0
80649	1996	300.0
80648	2005	300.0
80647	2006	300.0
80480	1988	350.0
80479	1989	350.0
80478	1999	350.0
80477	1999	350.0
80476	2010	660.0
80475	2010	660.0
80389	2008	600.0
80388	2008	600.0
80387	2006	600.0
80386	2006	600.0
80314	2005	300.0
80313	2006	300.0
70052	2010	1630.176941
80251	2007	600.0
80250	2007	600.0
80157	2009	660.0
80084	2011	350.0
80160	2006	600.0
80159	2006	600.0
10883	2010	42.0
80158	2008	660.0
80927	2003	592.464447
80926	2002	730.8950424
80925	2001	666.6407585
80924	2000	880.0001144
80922	1998	279.9248695
80921	1997	213.7229443
80918	1994	184.9191189
80917	1993	179.349184
80916	1992	195.1038837
80915	1991	186.9876385
80914	1990	155.6376219
80911	1987	102.1668911
80910	1986	89.91330862
80909	1985	97.23371267
80907	1983	45.83179951
80906	1982	35.01051664
80908	1984	35.64703465
80905	1981	26.25793219
80930	2006	649.9996185
80929	2005	430.0006866
80923	1999	179.999876
70026	2000	57.85098103
60016	2013	1015.0
60022	2014	1015.0
60021	2014	1015.0
81250	2010	1600.001373
81249	2009	79.99786377
81247	2006	2590.000458
81246	2005	6749.997406
81245	2004	4090.000916
81243	2002	512.87117
81241	2000	1169.999771
81239	1998	11.07158661
81238	1997	409.1807556
81237	1996	911.8496704
81235	1994	239.1279602
70051	2000	26.64274043
70035	2007	44.61856094
80755	1999	630.0
80754	2007	630.0
80753	1998	630.0
80752	2006	630.0
80727	2005	320.0
80726	2004	320.0
80725	2004	330.0
80724	2004	330.0
80712	1993	350.0
80711	1998	350.0
80710	1993	350.0
80709	1998	370.0
80708	2006	630.0
80707	2006	630.0
80638	2005	650.0
80637	2006	650.0
80636	2005	650.0
80625	2010	660.0
80624	2010	660.0
80615	2005	330.0
80614	2005	330.0
80613	1989	330.0
80612	1997	310.0
80611	2011	660.0
80610	2009	660.0
80609	2005	330.0
80608	2005	330.0
80607	2002	300.0
80606	2002	300.0
80605	2005	330.0
80604	2005	330.0
80603	2010	660.0
80602	2010	660.0
80601	2010	660.0
80600	2010	660.0
80593	2005	630.0
80592	2005	630.0
80571	1999	320.0
80570	2006	630.0
80569	2006	630.0
80568	2000	320.0
80531	1989	350.0
80530	1990	350.0
80529	1999	350.0
80528	1999	350.0
80527	2009	1000.0
80503	2006	330.0
80502	2005	330.0
80501	2005	330.0
80500	2006	330.0
80453	2005	330.0
80452	2005	330.0
80372	2006	630.0
80371	2005	630.0
80332	2008	1000.0
80331	2007	1000.0
80285	1980	330.0
80284	1983	330.0
80283	1986	330.0
80282	1987	330.0
80281	2012	1000.0
80280	2011	1000.0
80279	2005	330.0
80278	2004	330.0
80092	1996	320.0
80091	1997	320.0
80090	2010	1000.0
80089	2010	1000.0
80088	2004	320.0
80087	2004	320.0
80086	2006	330.0
80085	2005	330.0
80058	2008	600.0
80057	2007	600.0
80022	2006	630.0
80021	2006	630.0
80020	1993	330.0
80019	1994	330.0
80018	1993	330.0
80017	1994	330.0
81244	2003	902.0938873
81242	2001	1015.035629
81236	1995	1098.760605
81233	1992	948.6484528
81232	1991	909.1858864
81229	1988	781.5136909
81226	1985	472.7773666
81223	1982	170.2308655
81225	1984	173.3255386
81222	1981	127.6731491
81231	1990	406.7529678
81230	1989	36.51506424
81228	1987	166.7637062
81227	1986	107.1829033
70031	2007	29.31383598
70030	2000	34.66824342
60013	2007	996.0
60012	2007	996.0
81132	2009	149.9996185
81109	1986	245.5117702
81108	1985	265.5003071
81106	1983	125.1456738
81105	1982	95.59750557
81131	2008	1289.999771
81130	2007	1019.999886
81129	2006	280.0001144
81125	2002	9.938621521
81119	1996	91.77770615
80441	2007	300.0
80440	2007	300.0
80412	1999	600.0
80411	1996	600.0
80401	2010	300.0
80400	2011	300.0
80399	2006	300.0
80398	2006	300.0
80211	2008	600.0
80210	2008	600.0
80209	2002	350.0
80208	2001	350.0
80116	2010	300.0
80115	2010	300.0
81128	2005	319.9996948
81127	2004	210.0000381
81126	2003	291.7661667
81123	2000	475.0003815
81121	1998	764.3461227
81120	1997	583.5785866
81118	1995	617.03825
81117	1994	504.9290657
81116	1993	489.7198677
81115	1992	532.7386856
81114	1991	510.5772018
81113	1990	424.9744415
81112	1989	402.3780823
81111	1988	438.8797283
81110	1987	278.9707184
81107	1984	97.33557701
81104	1981	71.69830799
81566	2010	210.0000083
81565	2009	20.00000328
81564	2008	70.0000003
81208	1995	324.7570992
81207	1994	265.7520771
81206	1993	257.7474117
81205	1992	280.3888321
81203	1990	223.6707211
81202	1989	211.7779255
81201	1988	230.9892178
81200	1987	146.8267441
81199	1986	129.216671
81198	1985	139.7371292
81196	1983	65.86611271
80509	1991	363.0
80508	1991	363.0
80507	2011	600.0
80506	2011	600.0
80505	2006	300.0
80504	2006	300.0
80385	2007	600.0
80342	2007	630.0
80341	2008	630.0
80340	2001	300.0
80339	2001	300.0
80152	2004	300.0
80134	2003	310.0
80133	2003	310.0
80132	1998	300.0
80131	1997	300.0
80130	2006	600.0
80129	2006	600.0
80128	1996	300.0
80127	1999	300.0
81221	2010	190.0005341
81220	2009	1469.999313
81216	2005	429.9998283
81213	2002	723.549366
81195	1982	50.31454563
81197	1984	51.22923851
81194	1981	37.73581982
81219	2008	440.0006485
81218	2007	1409.99939
81217	2006	1710.000229
81215	2004	30.00040054
81212	2001	59.9407196
81211	1998	102.2874832
81210	1997	7.146549225
81209	1996	64.0935421
80151	2003	300.0
81563	2010	880.0001144
81559	2006	340.0001526
81558	2005	159.9998474
81557	2003	291.7661667
81554	2000	130.0001144
81551	1997	305.2268028
81548	1994	264.0910149
81552	1998	99.77312088
80733	2008	300.0
80732	2008	300.0
80731	1996	500.0
80730	1995	500.0
80729	2002	600.0
80728	2001	600.0
80696	1992	328.5
80695	1978	328.5
80694	1979	328.5
80693	1991	328.5
80658	2009	1000.0
80657	2009	1000.0
80579	1998	300.0
80578	1999	300.0
80577	2008	300.0
80576	2007	300.0
80334	2009	330.0
80333	2009	330.0
81547	1993	256.1364174
81544	1990	222.2728729
81543	1989	210.4542255
81542	1988	229.5455933
81541	1987	145.909071
81540	1986	128.4090281
81539	1985	138.863802
81537	1983	65.45448303
81536	1982	50.00007153
81560	2007	109.9998474
81538	1984	50.90904236
81535	1981	37.50002384
80899	2005	1629.411697
80898	2004	652.9414654
80897	2003	255.689621
80896	2002	315.4320717
80895	2001	287.7018452
80894	2000	116.1766052
80891	1997	145.1044083
80890	1996	172.0073223
80889	1995	153.4239054
80888	1994	125.5482435
80887	1993	121.7666864
80886	1992	132.4630976
80885	1991	126.9527674
80884	1990	105.6679487
80883	1989	100.0494957
80882	1988	109.1254354
80881	1987	69.36484575
80880	1986	61.04534864
80879	1985	66.01548195
80877	1983	31.11684322
80876	1982	23.7699151
80537	2007	600.0
80536	2007	600.0
80535	1998	500.0
80534	1999	500.0
80533	2011	600.0
80532	2010	600.0
80526	2006	600.0
80525	2006	600.0
80524	2007	600.0
80523	2007	600.0
80522	2011	660.0
80521	2011	660.0
80408	2010	600.0
80407	2010	600.0
80338	2007	300.0
80337	2007	300.0
80056	2008	600.0
80055	2008	600.0
80903	2009	752.9401779
80878	1984	24.20210838
80875	1981	17.82745123
80902	2008	526.4719009
80901	2007	226.4699936
80900	2006	1658.823299
81317	1987	384.1965199
81316	1986	338.1168842
81315	1985	365.6454086
81313	1983	172.3496914
81312	1982	131.6564083
70039	2010	151.4743864
70017	2000	128.6043807
70004	2000	733.3705479
80621	2010	600.0
80620	2011	600.0
80619	2005	350.0
80618	2005	350.0
80468	1998	350.0
80467	1998	350.0
80466	1988	350.0
80465	1989	350.0
80464	1998	350.0
80463	1998	350.0
80352	2000	800.0
80351	2000	800.0
80350	2010	1000.0
80349	2010	1000.0
80302	2007	600.0
80301	2007	600.0
80300	2009	600.0
80150	2009	300.0
80149	2009	300.0
80071	2008	300.0
80070	2008	300.0
80034	2011	300.0
80033	2011	300.0
10972	2011	49.5
81336	2006	719.9993134
81334	2004	140.0003433
81333	2003	261.9943619
81332	2002	323.2097626
81331	2001	294.79599
81329	1999	689.9995804
81327	1997	803.7014008
81326	1996	952.7111053
81325	1995	849.7810364
81324	1994	695.3849792
81323	1993	674.4384766
81322	1992	733.684063
81321	1991	703.1636238
81320	1990	585.2718353
81314	1984	134.0498924
81311	1981	98.74224663
81340	2010	2559.999847
81339	2009	1459.999847
81337	2007	1800.0
81335	2005	339.9999619
81319	1989	204.1520119
81318	1988	254.4220924
60018	2014	1015.0
60017	2013	1015.0
60019	2014	1015.0
60020	2014	1015.0
80994	2010	1909.999695
80993	2009	569.9996948
80991	2007	2890.000153
80990	2006	2430.000305
80989	2005	4419.99855
80988	2004	2340.000534
80987	2003	336.3819885
80986	2002	1229.938202
80985	2001	713.6791229
80981	1997	789.8391724
80978	1994	902.5279999
80974	1990	712.1097565
80973	1989	658.2958221
70044	2010	844.8148402
70018	2000	142.7470034
70016	2000	146.0798801
70014	2000	166.0792523
70012	2007	185.6471033
70009	2000	351.2152968
70006	2000	434.3105023
70003	2007	1103.837671
70002	2007	1246.299315
80717	2003	600.0
80716	2006	600.0
80715	2006	600.0
80714	2006	600.0
80713	2004	600.0
80704	1993	300.0
80703	1994	300.0
80702	1996	300.0
80701	1997	300.0
80700	2002	320.0
80699	2003	320.0
80698	1987	350.0
80697	1987	350.0
80566	1996	300.0
80565	1996	300.0
80564	2005	600.0
80482	2009	1000.0
80481	2009	1000.0
80234	1993	300.0
80233	1993	300.0
80232	1997	300.0
80231	1996	300.0
80228	2000	700.0
80227	2001	700.0
80226	2008	300.0
80225	2008	300.0
80224	1990	300.0
80223	1989	300.0
80222	1996	660.0
80221	1996	660.0
80220	1996	660.0
80219	1993	300.0
80218	1993	300.0
80217	2008	600.0
80216	2008	600.0
80215	2011	660.0
80214	2011	660.0
80213	2007	600.0
80212	2007	600.0
80205	2010	330.0
80204	2010	330.0
80201	2011	600.0
80200	2011	600.0
80110	2006	600.0
80109	2006	600.0
80108	2010	1000.0
80107	2010	1000.0
80983	1999	645.0004578
80982	1998	1820.350647
80979	1995	1469.526291
80976	1992	1268.759727
80975	1991	1215.979576
80972	1988	1045.226097
80970	1986	584.7053528
80969	1985	632.3103905
80967	1983	298.0442047
80966	1982	227.6730537
60004	2003	925.0
60003	2002	925.0
60002	1994	925.0
60001	1994	925.0
80968	1984	231.8124771
80965	1981	170.7549095
60037	2014	1664.0
60030	2014	1015.0
60029	2013	1015.0
60038	2014	1664.0
70033	2000	84.55285388
70025	2000	67.1663242
70024	2000	79.57842466
60015	2011	1015.0
60014	2010	1015.0
81367	2009	1279.999733
81366	2008	509.999752
81359	2001	368.4947491
81358	1998	167.6197052
81356	1996	151.7056227
81355	1995	135.3154182
81354	1994	110.730052
81353	1993	107.3946953
81350	1990	93.19615364
81349	1989	88.24080229
81348	1988	96.24552727
81347	1987	61.17779016
80721	2010	660.0
80720	2011	660.0
80627	2010	330.0
80626	2010	330.0
80541	1991	330.0
80540	1992	330.0
80539	1997	300.0
80538	1997	300.0
80458	2005	330.0
80457	2005	330.0
80416	2007	600.0
80415	2007	600.0
80414	2010	1000.0
80413	2011	1000.0
80310	2004	330.0
80309	2003	330.0
80308	2003	330.0
80307	2002	330.0
80306	2010	330.0
80305	2010	330.0
80304	2006	330.0
80303	2006	350.0
10307	2011	49.5
81346	1986	53.84027958
81345	1985	58.22378397
81343	1983	27.44421363
81342	1982	20.96438408
81344	1984	21.34552598
81341	1981	15.72328806
81368	2010	910.0003433
81364	2006	680.0001335
81363	2005	199.9998951
81362	2004	350.0000668
81360	2002	74.01220322
81390	2008	100.0000238
81389	2007	379.9999952
81388	2006	629.9999952
81387	2003	20.84046602
81386	2002	25.70992708
81385	2001	23.44965935
81384	2000	129.9999952
81383	1999	129.9999952
81382	1998	48.60973358
81381	1997	37.11354733
81380	1996	43.99463534
81379	1995	39.24146295
81378	1994	32.11173415
81377	1993	31.14444017
81376	1992	33.88032317
81375	1991	32.47091174
81374	1990	27.02689171
81373	1989	25.58983862
81372	1988	27.91120112
81371	1987	17.74156094
81370	1986	15.61367512
81369	1985	16.88489318
80846	2009	359.9996567
80841	2000	190.0000572
80840	1999	190.0000572
80839	1998	252.2675991
80838	1997	192.6066875
80837	1996	228.3170223
80836	1995	203.6497593
80835	1994	166.6486263
80834	1993	161.6290808
80833	1992	175.8271456
80832	1991	168.5128212
80831	1990	140.2602196
80830	1989	132.8024864
80829	1988	144.8494196
80828	1987	92.07260609
80827	1986	81.02965355
80826	1985	87.62675524
80824	1983	41.30351543
80823	1982	31.55142069
70045	2010	408.8342466
70011	2000	178.7455194
80014	2004	300.0
80013	2004	300.0
80012	2010	330.0
80011	2008	600.0
80010	2008	600.0
80009	2011	660.0
80008	2011	660.0
80007	2007	600.0
80006	2007	600.0
80005	2005	600.0
80004	2006	600.0
80825	1984	32.12505579
80822	1981	23.66352081
81621	2005	90.00015259
81620	2004	550.0001907
81619	2003	264.9712563
81618	2002	326.8828392
81617	2001	298.145771
81616	2000	210.0000381
81615	1999	210.0000381
81614	1998	259.8104477
81613	1997	198.3656883
81612	1996	235.1436615
81611	1995	209.7389698
81610	1994	171.6315746
81609	1993	166.4618254
81608	1992	181.0843945
81607	1991	173.5515594
81606	1990	144.4540024
81605	1989	136.7732286
81604	1988	149.1805315
81603	1987	94.82556581
81602	1986	83.45246315
81601	1985	90.24685621
81599	1983	42.53852367
81598	1982	32.4947834
81625	2009	660.0006485
81624	2008	1039.999866
80751	2008	300.0
80750	2008	300.0
80443	2009	330.0
80442	2009	330.0
81626	2010	2199.999809
81623	2007	619.9998856
81622	2006	889.9998665
81600	1984	33.08558464
81597	1981	24.37108755
81673	1998	852.3464203
81671	1996	771.422863
81668	1993	546.102047
81667	1992	594.0742493
81665	1990	473.9022255
81664	1989	448.7047195
81663	1988	489.4082546
81662	1987	311.0892773
81661	1986	273.7777233
81660	1985	296.0679531
81658	1983	139.5537853
81657	1982	106.6038609
81670	1995	58.07888031
70038	2010	3652.968037
70015	2000	155.2622432
70013	2000	184.0982021
70005	2007	412.4908676
80791	1997	330.0
80790	1997	330.0
80789	2008	300.0
80788	2007	300.0
80787	2006	600.0
80786	2006	600.0
80785	2007	600.0
80784	2006	600.0
80783	2008	600.0
80782	2008	600.0
80781	2010	660.0
80780	2010	660.0
80779	2005	300.0
80778	2005	300.0
80777	2005	600.0
80776	2004	600.0
80775	2004	600.0
80774	1995	300.0
80773	2005	600.0
80772	1995	330.0
80771	2011	1000.0
80770	2011	1000.0
80767	2001	300.0
80766	2001	300.0
80585	2007	1000.0
80584	2007	1000.0
80583	2006	1000.0
80582	2006	1000.0
80370	2006	600.0
80369	2006	600.0
80368	2005	600.0
80367	2006	600.0
80366	2009	1000.0
80365	2009	1000.0
80348	1991	600.0
80347	1994	600.0
80346	2009	1000.0
80345	2008	1000.0
80197	2006	600.0
80196	2006	600.0
80195	2006	600.0
80194	2006	600.0
81682	2007	1200.002289
81680	2005	3829.999542
81679	2004	4920.000839
81676	2001	401.6355515
81678	2003	890.1853561
81677	2002	1098.178864
81675	2000	1079.999924
81674	1999	1079.999924
81659	1984	108.5419655
81656	1981	79.95295525
60010	2002	696.0
60009	2012	611.0
60008	2010	611.0
60007	2004	611.0
60006	2002	611.0
60005	1994	291.0
60033	2014	1175.0
70028	2000	56.61253566
60011	2003	696.0
60028	2014	1015.0
60027	2014	1015.0
81596	2010	4037.647247
81595	2009	1807.056427
81574	1988	261.9011402
81573	1987	166.4755344
81572	1986	146.5089321
81571	1985	158.4371328
81569	1983	74.68056679
81568	1982	57.04772472
80686	2002	330.0
80685	2007	330.0
80684	2002	330.0
80683	2007	330.0
80595	2007	300.0
80594	2007	300.0
80520	2005	330.0
80519	2005	330.0
80517	1999	330.0
80516	1995	330.0
80515	2007	600.0
80514	2006	600.0
80513	1998	330.0
80512	1996	330.0
80511	2004	330.0
80510	2004	330.0
80410	2006	600.0
80409	2006	600.0
80384	2005	300.0
80383	2005	300.0
80144	2003	600.0
80143	2003	600.0
80142	2004	600.0
80141	2005	600.0
80140	2005	600.0
80139	2006	600.0
80138	2006	600.0
80137	2004	600.0
80136	2007	300.0
80135	2007	300.0
81594	2008	4143.531799
81587	2001	690.4840469
81586	2000	278.8238525
81583	1997	348.2503891
81580	1994	301.3160229
81579	1993	292.2399044
81578	1992	317.9113865
81577	1991	304.6865463
81576	1990	253.60322
81575	1989	240.118742
81593	2007	5283.528366
81592	2006	3861.175537
81591	2005	1450.588264
81588	2002	97.03716278
81584	1998	126.1228752
81582	1996	82.81747818
81581	1995	38.21722984
81570	1984	58.08496475
81567	1981	42.78588295
81305	2005	400.0000954
81304	2004	170.0000763
81303	2003	259.0169907
81302	2002	319.5371628
81301	2001	291.4457321
81299	1999	245.0003624
81298	1998	371.2778091
81297	1997	283.4706306
80460	2009	350.0
80459	2010	350.0
80295	2010	330.0
80294	2011	330.0
80293	1994	300.0
80292	1995	300.0
80291	2000	300.0
80290	2000	300.0
80207	2010	350.0
80206	2010	350.0
80148	2008	330.0
80147	2010	330.0
80146	2006	330.0
80145	2006	330.0
80067	2010	660.0
80066	2010	660.0
80065	2011	350.0
80064	2007	300.0
80063	2007	300.0
81296	1996	336.0280991
81293	1993	237.8792763
81292	1992	258.7757111
81291	1991	248.0106354
81290	1990	206.4293623
81289	1989	195.4534054
81288	1988	213.1837606
81287	1987	135.5088949
81286	1986	119.2561388
81285	1985	128.9657354
81283	1983	60.78886986
81282	1982	46.43619061
11068	2005	49.3
81284	1984	47.28031158
81281	1981	34.82705355
81310	2010	279.9994659
81309	2009	1860.000038
81308	2008	440.0004578
81306	2006	19.99982834
81650	2004	750.0
81649	2003	324.5155811
81648	2002	400.3396034
81647	2001	365.1447296
81646	2000	69.99993324
81645	1999	70.00017166
81644	1998	195.2769756
81643	1997	149.0941048
81642	1996	176.7370701
81641	1995	157.6424837
81640	1994	129.0005445
81639	1993	125.1147985
81638	1992	136.1054182
81637	1991	130.4434538
81636	1990	108.5735559
81651	2005	440.0000572
81655	2010	19.99988556
81654	2009	80.00030518
81653	2007	869.9996948
81652	2006	2010.00042
80591	2009	600.0
80590	2010	600.0
80589	2006	600.0
80588	2007	600.0
80587	2006	600.0
80586	2006	600.0
80344	2007	300.0
80343	2007	300.0
81635	1989	102.8005481
81634	1988	112.1260524
81633	1987	71.27207518
81632	1986	62.72393465
81631	1985	67.83074141
81629	1983	31.9724679
81628	1982	24.42353964
81630	1984	24.86753464
81627	1981	18.31763983
70032	2000	25.63532034
81056	1987	30.28300405
81055	1986	26.65093541
81054	1985	28.8207531
81052	1983	13.58489692
81051	1982	10.37736237
70023	2000	103.1125357
70022	2000	108.3599529
