GENERATION_PROJECT	gen_tech	gen_energy_source	gen_load_zone	gen_max_age	gen_is_variable	gen_is_baseload	gen_full_load_heat_rate	gen_variable_om	gen_connect_cost_per_mw	gen_dbid	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_capacity_limit_mw	gen_min_build_capacity	gen_is_cogen	gen_storage_efficiency	gen_store_to_release_ratio
2	Commercial_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	2	0	0.02	71542.5127	0	FALSE	0	0
3	Commercial_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	3	0	0.02	40292.7536	0	FALSE	0	0
4	Commercial_PV	Solar	Anhui	20	TRUE	FALSE	.	0	0	4	0	0.02	623541.743	0	FALSE	0	0
5	Commercial_PV	Solar	Beijing	20	TRUE	FALSE	.	0	0	5	0	0.02	234098.322	0	FALSE	0	0
6	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	6	0	0.02	77517.9964	0	FALSE	0	0
7	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	7	0	0.02	59536.2402	0	FALSE	0	0
8	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	8	0	0.02	89585.1798	0	FALSE	0	0
9	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	9	0	0.02	34642.2837	0	FALSE	0	0
10	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	10	0	0.02	38062.6229	0	FALSE	0	0
11	Commercial_PV	Solar	Fujian	20	TRUE	FALSE	.	0	0	11	0	0.02	28314.4162	0	FALSE	0	0
12	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	12	0	0.02	121881.161	0	FALSE	0	0
13	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	13	0	0.02	94257.2377	0	FALSE	0	0
14	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	14	0	0.02	29458.8483	0	FALSE	0	0
15	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	15	0	0.02	22807.2587	0	FALSE	0	0
16	Commercial_PV	Solar	Guangdong	20	TRUE	FALSE	.	0	0	16	0	0.02	255724.695	0	FALSE	0	0
17	Commercial_PV	Solar	Guangdong	20	TRUE	FALSE	.	0	0	17	0	0.02	290101.242	0	FALSE	0	0
18	Commercial_PV	Solar	Guangdong	20	TRUE	FALSE	.	0	0	18	0	0.02	166664.96	0	FALSE	0	0
19	Commercial_PV	Solar	Guangdong	20	TRUE	FALSE	.	0	0	19	0	0.02	53962.6254	0	FALSE	0	0
