LOAD_ZONE	TIMEPOINT	zone_demand_mw
Anhui	70873	20917.5381172
Anhui	70877	19391.3660247
Anhui	70881	20109.5645328
Anhui	70885	24239.2075309
Anhui	70889	23072.134167
Anhui	70893	22757.9227138
Anhui	71065	20917.5381172
Anhui	71069	19391.3660247
Anhui	71073	20109.5645328
Anhui	71077	24239.2075309
Anhui	71081	23072.134167
Anhui	71085	22757.9227138
Anhui	116905	22253.4568131
Anhui	116909	20629.8142716
Anhui	116913	21393.8812184
Anhui	116917	25787.2678395
Anhui	116921	24545.6582125
Anhui	116925	24211.3793425
Anhui	116977	22253.4568131
Anhui	116981	20629.8142716
Anhui	116985	21393.8812184
Anhui	116989	25787.2678395
Anhui	116993	24545.6582125
Anhui	116997	24211.3793425
Anhui	161497	29006.0458574
Anhui	161501	26889.7252153
Anhui	161505	27885.6406401
Anhui	161509	33612.1565191
Anhui	161513	31993.7928607
Anhui	161517	31558.0804088
Anhui	161641	29006.0458574
Anhui	161645	26889.7252153
Anhui	161649	27885.6406401
Anhui	161653	33612.1565191
Anhui	161657	31993.7928607
Anhui	161661	31558.0804088
Anhui	206162	32322.1803927
Anhui	206166	29963.9100548
Anhui	206170	31073.6841404
Anhui	206174	37454.8875685
Anhui	206178	35651.5034614
Anhui	206182	35165.9779079
Anhui	206450	32322.1803927
Anhui	206454	29963.9100548
Anhui	206458	31073.6841404
Anhui	206462	37454.8875685
Anhui	206466	35651.5034614
Anhui	206470	35165.9779079
Anhui	251282	37247.3438668
Anhui	251286	34529.7268887
Anhui	251290	35808.6052465
Anhui	251294	43162.1586108
Anhui	251298	41083.9798759
Anhui	251302	40524.4712961
Anhui	251498	37247.3438668
Anhui	251502	34529.7268887
Anhui	251506	35808.6052465
Anhui	251510	43162.1586108
Anhui	251514	41083.9798759
Anhui	251518	40524.4712961
Beijing	70873	12692.6453831
Beijing	70877	11766.5726753
Beijing	70881	12202.3715216
Beijing	70885	14708.2158442
Beijing	70889	14000.0422407
Beijing	70893	13809.3804846
Beijing	71065	12692.6453831
Beijing	71069	11766.5726753
Beijing	71073	12202.3715216
Beijing	71077	14708.2158442
Beijing	71081	14000.0422407
Beijing	71085	13809.3804846
Beijing	116905	12682.3881301
Beijing	116909	11757.0638055
Beijing	116913	12192.5104716
Beijing	116917	14696.3297569
Beijing	116921	13988.7284468
Beijing	116925	13798.2207693
Beijing	116977	12682.3881301
Beijing	116981	11757.0638055
Beijing	116985	12192.5104716
Beijing	116989	14696.3297569
Beijing	116993	13988.7284468
Beijing	116997	13798.2207693
Beijing	161497	15970.1492261
Beijing	161501	14804.9453706
