timepoint_id	timestamp	timeseries
70873	2018020100	2018_2018-02-01
70877	2018020104	2018_2018-02-01
70881	2018020108	2018_2018-02-01
70885	2018020112	2018_2018-02-01
70889	2018020116	2018_2018-02-01
70893	2018020120	2018_2018-02-01
71065	2018020900	2018_2018-02-09
71069	2018020904	2018_2018-02-09
71073	2018020908	2018_2018-02-09
71077	2018020912	2018_2018-02-09
71081	2018020916	2018_2018-02-09
71085	2018020920	2018_2018-02-09
116905	2023050400	2023_2023-05-04
116909	2023050404	2023_2023-05-04
116913	2023050408	2023_2023-05-04
116917	2023050412	2023_2023-05-04
116921	2023050416	2023_2023-05-04
116925	2023050420	2023_2023-05-04
116977	2023050700	2023_2023-05-07
116981	2023050704	2023_2023-05-07
116985	2023050708	2023_2023-05-07
116989	2023050712	2023_2023-05-07
116993	2023050716	2023_2023-05-07
116997	2023050720	2023_2023-05-07
161497	2028060400	2028_2028-06-04
161501	2028060404	2028_2028-06-04
161505	2028060408	2028_2028-06-04
161509	2028060412	2028_2028-06-04
161513	2028060416	2028_2028-06-04
161517	2028060420	2028_2028-06-04
161641	2028061000	2028_2028-06-10
161645	2028061004	2028_2028-06-10
161649	2028061008	2028_2028-06-10
161653	2028061012	2028_2028-06-10
161657	2028061016	2028_2028-06-10
161661	2028061020	2028_2028-06-10
206162	2033070900	2033_2033-07-09
206166	2033070904	2033_2033-07-09
206170	2033070908	2033_2033-07-09
206174	2033070912	2033_2033-07-09
206178	2033070916	2033_2033-07-09
206182	2033070920	2033_2033-07-09
206450	2033072100	2033_2033-07-21
206454	2033072104	2033_2033-07-21
206458	2033072108	2033_2033-07-21
206462	2033072112	2033_2033-07-21
206466	2033072116	2033_2033-07-21
206470	2033072120	2033_2033-07-21
251282	2038090100	2038_2038-09-01
251286	2038090104	2038_2038-09-01
251290	2038090108	2038_2038-09-01
251294	2038090112	2038_2038-09-01
251298	2038090116	2038_2038-09-01
251302	2038090120	2038_2038-09-01
251498	2038091000	2038_2038-09-10
251502	2038091004	2038_2038-09-10
251506	2038091008	2038_2038-09-10
251510	2038091012	2038_2038-09-10
251514	2038091016	2038_2038-09-10
251518	2038091020	2038_2038-09-10
