TRANSMISSION_LINE	trans_dbid	trans_derating_factor	trans_terrain_multiplier	trans_new_build_allowed
10-11	118	1.0	1.0	1
1-14	10	1.0	1.0	1
1-26	13	1.0	1.0	1
1-3	11	1.0	1.0	1
1-30	9	1.0	1.0	1
13-14	7	1.0	1.0	1
13-17	8	1.0	1.0	1
1-4	12	1.0	1.0	1
14-15	54	1.0	1.0	1
14-16	55	1.0	1.0	1
14-17	56	1.0	1.0	1
14-18	57	1.0	1.0	1
14-2	52	1.0	1.0	1
14-22	53	1.0	1.0	1
14-7	49	1.0	1.0	1
1-6	14	1.0	1.0	1
16-15	124	1.0	1.0	1
16-18	125	1.0	1.0	1
16-4	121	1.0	1.0	1
16-9	122	1.0	1.0	1
17-15	137	1.0	1.0	1
18-5	145	1.0	1.0	1
19-13	15	1.0	1.0	1
19-14	16	1.0	1.0	1
19-15	21	1.0	1.0	1
19-17	22	1.0	1.0	1
19-18	23	1.0	1.0	1
19-20	17	1.0	1.0	1
19-21	19	1.0	1.0	1
19-22	20	1.0	1.0	1
19-9	18	1.0	1.0	1
20-21	59	1.0	1.0	1
21-22	91	1.0	1.0	1
2-15	64	1.0	1.0	1
2-16	65	1.0	1.0	1
2-26	63	1.0	1.0	1
2-3	62	1.0	1.0	1
23-18	32	1.0	1.0	1
23-24	28	1.0	1.0	1
23-25	29	1.0	1.0	1
23-26	30	1.0	1.0	1
23-27	33	1.0	1.0	1
23-6	31	1.0	1.0	1
23-9	27	1.0	1.0	1
24-11	99	1.0	1.0	1
24-15	97	1.0	1.0	1
24-18	98	1.0	1.0	1
24-26	96	1.0	1.0	1
25-27	103	1.0	1.0	1
25-34	102	1.0	1.0	1
25-6	101	1.0	1.0	1
26-16	110	1.0	1.0	1
26-18	112	1.0	1.0	1
26-6	111	1.0	1.0	1
26-9	108	1.0	1.0	1
27-15	152	1.0	1.0	1
27-2	150	1.0	1.0	1
28-29	35	1.0	1.0	1
28-4	37	1.0	1.0	1
28-5	38	1.0	1.0	1
29-30	40	1.0	1.0	1
29-32	42	1.0	1.0	1
29-4	41	1.0	1.0	1
30-32	48	1.0	1.0	1
30-4	45	1.0	1.0	1
30-6	47	1.0	1.0	1
30-9	46	1.0	1.0	1
32-11	159	1.0	1.0	1
32-28	154	1.0	1.0	1
3-26	72	1.0	1.0	1
3-4	70	1.0	1.0	1
34-27	140	1.0	1.0	1
34-32	141	1.0	1.0	1
3-5	71	1.0	1.0	1
4-5	78	1.0	1.0	1
5-11	88	1.0	1.0	1
6-28	128	1.0	1.0	1
6-32	134	1.0	1.0	1
6-34	133	1.0	1.0	1
6-4	130	1.0	1.0	1
7-11	6	1.0	1.0	1
7-15	5	1.0	1.0	1
7-2	1	1.0	1.0	1
7-3	2	1.0	1.0	1
7-5	4	1.0	1.0	1
7-9	3	1.0	1.0	1
8-11	26	1.0	1.0	1
8-28	24	1.0	1.0	1
8-5	25	1.0	1.0	1
9-10	81	1.0	1.0	1
9-11	82	1.0	1.0	1
9-15	80	1.0	1.0	1
