TRANSMISSION_LINE	trans_lz1	trans_lz2	trans_length_km	trans_efficiency	existing_trans_cap
7-2	Anhui	Henan	465.8190285	0.971055347	7500.0
7-3	Anhui	Hubei	318.2122406	0.980227208	7500.0
7-9	Anhui	Jiangsu	142.7198909	0.991131797	12500.0
7-5	Anhui	Jiangxi	378.2226785	0.976498332	7500.0
7-15	Anhui	Shandong	534.7364824	0.966773015	7500.0
7-11	Anhui	Zhejiang	327.0532209	0.979677855	7500.0
13-14	Beijing	Hebei	265.2199526	0.983519996	11500.0
13-17	Beijing	Tianjin	112.8813082	0.992985881	12500.0
1-30	Chongqing	Guizhou	332.0922137	0.979364747	7500.0
1-14	Chongqing	Hebei	1196.48829	0.925653664	4000.0
1-3	Chongqing	Hubei	757.0770073	0.952957416	7500.0
1-4	Chongqing	Hunan	647.774773	0.959749142	7500.0
1-26	Chongqing	Shaanxi	571.3647054	0.964497043	7500.0
1-6	Chongqing	Sichuan	263.8307426	0.983606318	7500.0
19-13	East_Inner_Mongolia	Beijing	856.2810155	0.946793164	5000.0
19-14	East_Inner_Mongolia	Hebei	1111.44554	0.930937976	11500.0
19-20	East_Inner_Mongolia	Heilongjiang	504.8760783	0.968628455	7500.0
19-9	East_Inner_Mongolia	Jiangsu	1675.777147	0.895872036	7200.0
19-21	East_Inner_Mongolia	Jilin	524.2459734	0.967424865	7500.0
19-22	East_Inner_Mongolia	Liaoning	634.8267153	0.960553697	11500.0
19-15	East_Inner_Mongolia	Shandong	1189.062534	0.92611508	14400.0
19-17	East_Inner_Mongolia	Tianjin	918.6845125	0.942915591	4000.0
19-18	East_Inner_Mongolia	West_Inner_Mongolia	981.6761886	0.93900147	7500.0
8-28	Fujian	Guangdong	693.2384286	0.956924161	7500.0
8-5	Fujian	Jiangxi	442.6535527	0.972494783	7500.0
8-11	Fujian	Zhejiang	473.2071071	0.970596274	7500.0
23-9	Gansu	Jiangsu	1452.509428	0.909745249	7200.0
23-24	Gansu	Ningxia	347.8442882	0.978385958	7500.0
23-25	Gansu	Qinghai	185.809818	0.988454313	7500.0
23-26	Gansu	Shaanxi	513.4140306	0.968097931	7500.0
23-6	Gansu	Sichuan	602.0171439	0.962592389	7500.0
23-18	Gansu	West_Inner_Mongolia	867.8542348	0.946074038	7500.0
23-27	Gansu	Xinjiang	1618.112566	0.899455147	7500.0
28-29	Guangdong	Guangxi	507.92942	0.968438729	7500.0
28-4	Guangdong	Hunan	565.7801929	0.964844049	7500.0
28-5	Guangdong	Jiangxi	671.8521889	0.95825304	7500.0
29-30	Guangxi	Guizhou	449.3221992	0.972080413	7500.0
29-4	Guangxi	Hunan	760.9865434	0.952714488	7500.0
29-32	Guangxi	Yunnan	621.7638715	0.961365384	7500.0
30-4	Guizhou	Hunan	644.7322371	0.959938196	7500.0
