GENERATION_PROJECT	timepoint	gen_max_capacity_factor
10595	251518	0.75229
10584	251518	0.75229
10578	251518	0.75229
10568	251518	0.75229
10559	251518	0.75229
10558	251518	0.75229
10557	251518	0.75229
10556	251518	0.75229
10554	251518	0.75229
10553	251518	0.75229
10552	251518	0.75229
10551	251518	0.75229
10550	251518	0.75229
10546	251518	0.75229
10545	251518	0.75229
10544	251518	0.75229
10535	251518	0.75229
10534	251518	0.75229
10420	71077	0.75321
10417	71077	0.75321
10285	251518	0.036799
10250	251518	0.036799
10248	251518	0.036799
10247	251518	0.036799
10246	251518	0.036799
10245	251518	0.036799
10244	251518	0.036799
10243	251518	0.036799
10241	251518	0.036799
10240	251518	0.036799
10238	251518	0.036799
10237	251518	0.036799
10235	251518	0.036799
10231	251518	0.036799
10229	251518	0.036799
10242	206450	0.038424
10239	206450	0.038424
10236	206450	0.038424
10230	206450	0.038424
10163	251518	0.038874
10162	251518	0.038874
10159	251518	0.038874
10158	251518	0.038874
10175	251518	0.035963
10174	251518	0.035963
10173	251518	0.035963
10171	251518	0.035963
10170	251518	0.035963
10169	251518	0.035963
10168	251518	0.035963
10167	251518	0.035963
10166	251518	0.035963
10165	251518	0.035963
10164	251518	0.035963
10504	206450	0.036822
10543	251518	0.037032
10530	251518	0.037032
10523	251518	0.037032
10519	251518	0.037032
10419	71077	0.037705
10418	71077	0.037705
10408	71077	0.037705
10273	251518	0.041731
11229	206450	0.035729
11228	206450	0.035729
11227	206450	0.035729
11226	206450	0.035729
10021	251518	0.041429
10020	251518	0.041429
10019	251518	0.041429
10018	251518	0.041429
10017	251518	0.041429
10016	251518	0.041429
10015	251518	0.041429
10014	251518	0.041429
10013	251518	0.041429
10012	251518	0.041429
10011	251518	0.041429
10010	251518	0.041429
10009	251518	0.041429
10008	251518	0.041429
11319	206450	0.037698
11140	206450	0.037698
11138	206450	0.037698
11135	206450	0.037698
11134	206450	0.037698
11133	206450	0.037698
11132	206450	0.037698
11131	206450	0.037698
11129	206450	0.037698
11128	206450	0.037698
11126	206450	0.037698
11118	206450	0.037698
11115	206450	0.037698
11113	206450	0.037698
11112	206450	0.037698
11111	206450	0.037698
11110	206450	0.037698
11109	206450	0.037698
11108	206450	0.037698
11106	206450	0.037698
11102	206450	0.037698
11101	206450	0.037698
11097	206450	0.037698
11094	206450	0.037698
11091	206450	0.037698
11090	206450	0.037698
11089	206450	0.037698
11085	206450	0.037698
11082	206450	0.037698
11081	206450	0.037698
11079	206450	0.037698
11076	206450	0.037698
11072	206450	0.037698
11071	206450	0.037698
11069	206450	0.037698
11068	206450	0.037698
11066	206450	0.037698
11065	206450	0.037698
11062	206450	0.037698
11061	206450	0.037698
11060	206450	0.037698
11059	206450	0.037698
11058	206450	0.037698
11057	206450	0.037698
11055	206450	0.037698
10510	206450	0.042349
10509	206450	0.042349
10508	206450	0.042349
10505	206450	0.042349
10499	206450	0.042349
10497	206450	0.042349
10494	206450	0.042349
10493	206450	0.042349
10489	206450	0.042349
10488	206450	0.042349
10486	206450	0.042349
10485	206450	0.042349
10484	206450	0.042349
10483	206450	0.042349
10480	206450	0.042349
10479	206450	0.042349
10478	206450	0.042349
10477	206450	0.042349
10474	206450	0.042349
10473	206450	0.042349
10470	206450	0.042349
10469	206450	0.042349
10531	206450	0.042616
10527	206450	0.042616
10517	206450	0.042616
10516	206450	0.042616
10960	251506	0.037429
10956	251506	0.037429
10950	251506	0.037429
10949	251506	0.037429
10943	251506	0.037429
10942	251506	0.037429
10940	251506	0.037429
10936	251506	0.037429
10935	251506	0.037429
10934	251506	0.037429
10933	251506	0.037429
10931	251506	0.037429
10930	251506	0.037429
10929	251506	0.037429
10928	251506	0.037429
10927	251506	0.037429
10925	251506	0.037429
10923	251506	0.037429
10921	251506	0.037429
10919	251506	0.037429
10917	251506	0.037429
10916	251506	0.037429
10914	251506	0.037429
10911	251506	0.037429
10910	251506	0.037429
10909	251506	0.037429
10908	251506	0.037429
10898	251506	0.037429
10897	251506	0.037429
10894	251506	0.037429
10891	251506	0.037429
10890	251506	0.037429
10889	251506	0.037429
10888	251506	0.037429
10887	251506	0.037429
10886	251506	0.037429
10885	251506	0.037429
10884	251506	0.037429
10882	251506	0.037429
10879	251506	0.037429
10878	251506	0.037429
10876	251506	0.037429
10875	251506	0.037429
10873	251506	0.037429
11130	251506	0.036402
11125	251506	0.036402
11124	251506	0.036402
11123	251506	0.036402
11122	251506	0.036402
11119	251506	0.036402
11117	251506	0.036402
11116	251506	0.036402
11114	251506	0.036402
11107	251506	0.036402
11105	251506	0.036402
11104	251506	0.036402
11100	251506	0.036402
11099	251506	0.036402
11098	251506	0.036402
11096	251506	0.036402
11095	251506	0.036402
11093	251506	0.036402
11092	251506	0.036402
11088	251506	0.036402
11087	251506	0.036402
11086	251506	0.036402
11084	251506	0.036402
11083	251506	0.036402
11075	251506	0.036402
10606	206450	0.041445
10604	206450	0.041445
10603	206450	0.041445
10599	206450	0.041445
10789	206450	0.035928
10785	206450	0.035928
10784	206450	0.035928
10781	206450	0.035928
10778	206450	0.035928
10777	206450	0.035928
10776	206450	0.035928
10775	206450	0.035928
10773	206450	0.035928
10771	206450	0.035928
10770	206450	0.035928
10769	206450	0.035928
10768	206450	0.035928
10767	206450	0.035928
10766	206450	0.035928
10765	206450	0.035928
10763	206450	0.035928
10761	206450	0.035928
10760	206450	0.035928
10759	206450	0.035928
10758	206450	0.035928
10756	206450	0.035928
10750	206450	0.035928
10912	251506	0.041017
10896	251506	0.041017
10400	71077	0.035323
10399	71077	0.035323
10398	71077	0.035323
10397	71077	0.035323
10395	71077	0.035323
10394	71077	0.035323
10393	71077	0.035323
11078	206450	0.038244
11077	206450	0.038244
10372	251506	0.040751
10471	206450	0.037767
10466	206450	0.037767
10465	206450	0.037767
10460	206450	0.037767
10459	206450	0.037767
10452	206450	0.037767
10450	206450	0.037767
10644	251506	0.040122
10640	251506	0.040122
11020	251506	0.039318
10187	251506	0.007185
10186	251506	0.007185
10194	251506	0.0076878
10193	251506	0.0076878
10191	251506	0.0076878
10190	251506	0.0076878
10189	251506	0.0076878
10188	251506	0.0076878
10223	206450	0.003914
10221	206450	0.003914
10219	206450	0.003914
10218	206450	0.003914
10216	206450	0.003914
10211	206450	0.003914
10472	251506	0.00032431
10468	251506	0.00032431
10467	251506	0.00032431
10464	251506	0.00032431
10458	251506	0.00032431
10455	251506	0.00032431
10453	251506	0.00032431
10448	251506	0.00032431
10444	251506	0.00032431
10542	251506	0.0013441
10537	251506	0.0013441
10529	251506	0.0013441
10528	251506	0.0013441
10526	251506	0.0013441
10524	251506	0.0013441
10518	251506	0.0013441
10513	251506	0.0013441
10506	251506	0.0013441
10498	251506	0.0013441
10492	251506	0.0013441
10491	251506	0.0013441
10419	251518	0.00089512
10418	251518	0.00089512
10408	251518	0.00089512
11319	251518	0.0077977
11140	251518	0.0077977
11138	251518	0.0077977
11135	251518	0.0077977
11134	251518	0.0077977
11133	251518	0.0077977
11132	251518	0.0077977
11131	251518	0.0077977
11129	251518	0.0077977
11128	251518	0.0077977
11126	251518	0.0077977
11118	251518	0.0077977
11115	251518	0.0077977
11113	251518	0.0077977
11112	251518	0.0077977
11111	251518	0.0077977
11110	251518	0.0077977
11109	251518	0.0077977
11108	251518	0.0077977
11106	251518	0.0077977
11102	251518	0.0077977
11101	251518	0.0077977
11097	251518	0.0077977
11094	251518	0.0077977
11091	251518	0.0077977
11090	251518	0.0077977
11089	251518	0.0077977
11085	251518	0.0077977
11082	251518	0.0077977
11081	251518	0.0077977
11079	251518	0.0077977
11076	251518	0.0077977
11072	251518	0.0077977
11071	251518	0.0077977
11069	251518	0.0077977
11068	251518	0.0077977
11066	251518	0.0077977
11065	251518	0.0077977
11062	251518	0.0077977
11061	251518	0.0077977
11060	251518	0.0077977
11059	251518	0.0077977
11058	251518	0.0077977
11057	251518	0.0077977
11055	251518	0.0077977
11319	251506	0.0055804
11140	251506	0.0055804
11138	251506	0.0055804
11135	251506	0.0055804
11134	251506	0.0055804
11133	251506	0.0055804
11132	251506	0.0055804
11131	251506	0.0055804
11129	251506	0.0055804
11128	251506	0.0055804
11126	251506	0.0055804
