LOAD_ZONE	balancing_area
Fujian	East_China
Jiangsu	East_China
Heilongjiang	North_East_Grid
Tibet	Tibet
Hunan	Central_China
Tianjin	North_China
East_Inner_Mongolia	North_East_Grid
Liaoning	North_East_Grid
Guangdong	Southern_Power
Ningxia	North_West_Grid
Qinghai	North_West_Grid
Beijing	North_China
Xinjiang	North_West_Grid
Zhejiang	East_China
West_Inner_Mongolia	North_China
Jilin	North_East_Grid
Yunnan	Southern_Power
Hainan	Southern_Power
Jiangxi	Central_China
Shaanxi	North_West_Grid
Henan	Central_China
Hebei	North_China
Shandong	North_China
Shanxi	North_China
Guangxi	Southern_Power
Anhui	East_China
Guizhou	Southern_Power
Sichuan	Central_China
Gansu	North_West_Grid
Hubei	Central_China
Shanghai	East_China
Chongqing	Central_China
