NEW_GEN_WITH_MIN_BUILD_YEARS_1	NEW_GEN_WITH_MIN_BUILD_YEARS_2	BuildMinGenCap
1341	2016	0.0
1341	2021	0.0
1341	2026	0.0
1341	2031	0.0
1341	2036	0.0
1342	2016	0.0
1342	2021	0.0
1342	2026	0.0
1342	2031	1.0
1342	2036	1.0
1343	2016	0.0
1343	2021	0.0
1343	2026	0.0
1343	2031	1.0
1343	2036	1.0
1344	2016	0.0
1344	2021	0.0
1344	2026	0.0
1344	2031	1.0
1344	2036	1.0
1345	2016	0.0
1345	2021	0.0
1345	2026	0.0
1345	2031	-0.0
1345	2036	1.0
1346	2016	0.0
1346	2021	0.0
1346	2026	0.0
1346	2031	0.0
1346	2036	0.0
1347	2016	0.0
1347	2021	0.0
1347	2026	0.0
1347	2031	0.0
1347	2036	1.0
1348	2016	0.0
1348	2021	0.0
1348	2026	0.0
1348	2031	1.0
1348	2036	0.0
1349	2016	0.0
1349	2021	0.0
1349	2026	1.0
1349	2031	1.0
1349	2036	1.0
1350	2016	0.0
1350	2021	0.0
1350	2026	-0.0
1350	2031	-0.0
1350	2036	-0.0
1351	2016	0.0
1351	2021	0.0
1351	2026	0.0
1351	2031	0.0
1351	2036	0.0
1352	2016	0.0
1352	2021	0.0
1352	2026	0.0
1352	2031	0.0
1352	2036	0.0
1353	2016	0.0
1353	2021	0.0
1353	2026	0.0
1353	2031	1.0
1353	2036	0.0
1354	2016	0.0
1354	2021	0.0
1354	2026	1.0
1354	2031	1.0
1354	2036	1.0
1355	2016	0.0
1355	2021	0.0
1355	2026	1.0
1355	2031	1.0
1355	2036	1.0
1356	2016	0.0
1356	2021	0.0
1356	2026	0.0
1356	2031	0.0
1356	2036	1.0
1357	2016	0.0
1357	2021	0.0
1357	2026	0.0
1357	2031	-0.0
1357	2036	1.0
1358	2016	0.0
1358	2021	0.0
1358	2026	0.0
1358	2031	0.0
1358	2036	0.0
1359	2016	0.0
1359	2021	0.0
1359	2026	0.0
1359	2031	0.0
1359	2036	0.0
1360	2016	0.0
1360	2021	0.0
1360	2026	0.0
1360	2031	0.0
1360	2036	0.0
1361	2016	0.0
1361	2021	0.0
1361	2026	0.0
1361	2031	0.0
1361	2036	0.0
1362	2016	0.0
1362	2021	0.0
1362	2026	0.0
1362	2031	1.0
1362	2036	1.0
1363	2016	0.0
1363	2021	0.0
1363	2026	0.0
1363	2031	1.0
1363	2036	-0.0
1364	2016	0.0
1364	2021	0.0
1364	2026	0.0
1364	2031	0.0
1364	2036	1.0
1365	2016	0.0
1365	2021	0.0
1365	2026	0.0
1365	2031	0.0
1365	2036	0.0
1366	2016	0.0
1366	2021	0.0
1366	2026	0.0
1366	2031	0.0
1366	2036	1.0
1367	2016	0.0
1367	2021	0.0
1367	2026	0.0
1367	2031	0.0
1367	2036	0.0
1368	2016	0.0
1368	2021	0.0
1368	2026	1.0
1368	2031	1.0
1368	2036	1.0
1369	2016	0.0
1369	2021	0.0
1369	2026	0.0
1369	2031	0.0
1369	2036	1.0
1370	2016	0.0
1370	2021	0.0
1370	2026	0.0
1370	2031	0.0
1370	2036	0.0
1371	2016	0.0
1371	2021	0.0
1371	2026	0.0
1371	2031	0.0
1371	2036	0.0
1372	2016	0.0
1372	2021	0.0
1372	2026	0.0
1372	2031	0.0
1372	2036	0.0
1373	2016	0.0
1373	2021	0.0
1373	2026	0.0
1373	2031	0.0
1373	2036	0.0
1374	2016	0.0
1374	2021	0.0
1374	2026	0.0
1374	2031	0.0
1374	2036	0.0
1375	2016	0.0
1375	2021	0.0
1375	2026	0.0
1375	2031	0.0
1375	2036	0.0
1586	2016	0.0
1586	2021	0.0
1586	2026	0.0
1586	2031	0.0
1586	2036	0.0
1587	2016	0.0
1587	2021	0.0
1587	2026	0.0
1587	2031	0.0
1587	2036	0.0
1588	2016	0.0
1588	2021	0.0
1588	2026	0.0
1588	2031	0.0
1588	2036	0.0
1589	2016	0.0
1589	2021	0.0
1589	2026	0.0
1589	2031	0.0
1589	2036	0.0
1590	2016	0.0
1590	2021	0.0
1590	2026	0.0
1590	2031	0.0
1590	2036	0.0
1591	2016	0.0
1591	2021	0.0
1591	2026	0.0
1591	2031	0.0
1591	2036	0.0
1592	2016	0.0
1592	2021	0.0
1592	2026	0.0
1592	2031	0.0
1592	2036	0.0
1593	2016	0.0
1593	2021	0.0
1593	2026	0.0
1593	2031	0.0
1593	2036	0.0
1594	2016	0.0
1594	2021	0.0
1594	2026	0.0
1594	2031	0.0
1594	2036	0.0
1595	2016	0.0
1595	2021	0.0
1595	2026	0.0
1595	2031	0.0
1595	2036	0.0
1596	2016	0.0
1596	2021	0.0
1596	2026	0.0
1596	2031	0.0
1596	2036	0.0
1597	2016	0.0
1597	2021	0.0
1597	2026	0.0
1597	2031	0.0
1597	2036	0.0
1598	2016	0.0
1598	2021	0.0
1598	2026	0.0
1598	2031	0.0
1598	2036	0.0
1599	2016	0.0
1599	2021	0.0
1599	2026	0.0
1599	2031	0.0
1599	2036	0.0
1600	2016	0.0
1600	2021	0.0
1600	2026	0.0
1600	2031	0.0
1600	2036	0.0
1601	2016	0.0
1601	2021	0.0
1601	2026	0.0
1601	2031	0.0
1601	2036	0.0
1602	2016	0.0
1602	2021	0.0
1602	2026	0.0
1602	2031	0.0
1602	2036	0.0
1603	2016	0.0
1603	2021	0.0
1603	2026	0.0
1603	2031	0.0
1603	2036	0.0
1604	2016	0.0
1604	2021	0.0
1604	2026	0.0
1604	2031	0.0
1604	2036	0.0
1605	2016	0.0
1605	2021	0.0
1605	2026	0.0
1605	2031	0.0
1605	2036	0.0
1606	2016	0.0
1606	2021	0.0
1606	2026	0.0
1606	2031	0.0
1606	2036	0.0
1607	2016	0.0
1607	2021	0.0
1607	2026	0.0
1607	2031	0.0
1607	2036	0.0
1608	2016	0.0
1608	2021	0.0
1608	2026	0.0
1608	2031	0.0
1608	2036	0.0
1609	2016	0.0
1609	2021	0.0
1609	2026	0.0
1609	2031	0.0
1609	2036	0.0
1610	2016	0.0
1610	2021	0.0
1610	2026	0.0
1610	2031	0.0
1610	2036	0.0
1611	2016	0.0
1611	2021	0.0
1611	2026	0.0
1611	2031	0.0
1611	2036	0.0
1612	2016	0.0
1612	2021	0.0
1612	2026	0.0
1612	2031	0.0
1612	2036	0.0
1613	2016	0.0
1613	2021	0.0
1613	2026	0.0
1613	2031	0.0
1613	2036	0.0
1614	2016	0.0
1614	2021	0.0
1614	2026	0.0
1614	2031	0.0
1614	2036	0.0
1615	2016	0.0
1615	2021	0.0
1615	2026	0.0
1615	2031	0.0
1615	2036	0.0
1616	2016	0.0
1616	2021	0.0
1616	2026	0.0
1616	2031	0.0
1616	2036	0.0
1617	2016	0.0
1617	2021	0.0
1617	2026	0.0
1617	2031	0.0
1617	2036	0.0
1618	2016	0.0
1618	2021	0.0
1618	2026	0.0
1618	2031	0.0
1618	2036	0.0
1619	2016	0.0
1619	2021	0.0
1619	2026	0.0
1619	2031	0.0
1619	2036	0.0
1620	2016	0.0
1620	2021	0.0
1620	2026	0.0
1620	2031	0.0
1620	2036	0.0
