BLD_YRS_FOR_TX_1	BLD_YRS_FOR_TX_2	BuildTx
24-15	Legacy	4000.0
25-34	Legacy	1200.0
30-4	Legacy	7500.0
26-9	Legacy	4000.0
26-6	Legacy	6000.0
14-18	Legacy	7500.0
23-18	Legacy	7500.0
24-18	Legacy	7500.0
1-26	Legacy	7500.0
14-7	Legacy	4000.0
4-5	Legacy	7500.0
6-4	Legacy	8000.0
16-18	Legacy	7500.0
7-15	Legacy	7500.0
1-4	Legacy	7500.0
1-6	Legacy	7500.0
7-2	Legacy	7500.0
8-28	Legacy	7500.0
19-13	Legacy	5000.0
16-9	Legacy	5000.0
16-4	Legacy	5000.0
6-28	Legacy	6400.0
23-24	Legacy	7500.0
23-26	Legacy	7500.0
3-4	Legacy	7500.0
29-32	Legacy	7500.0
32-28	Legacy	5000.0
14-15	Legacy	7500.0
28-4	Legacy	7500.0
34-27	Legacy	7500.0
2-3	Legacy	11500.0
19-20	Legacy	7500.0
27-2	Legacy	14400.0
24-11	Legacy	7200.0
23-27	Legacy	7500.0
26-18	Legacy	7500.0
3-5	Legacy	7500.0
14-16	Legacy	7500.0
27-15	Legacy	7200.0
13-17	Legacy	12500.0
30-32	Legacy	7500.0
9-10	Legacy	12500.0
8-11	Legacy	7500.0
28-29	Legacy	7500.0
3-26	Legacy	7500.0
7-5	Legacy	7500.0
14-17	Legacy	7500.0
19-15	Legacy	14400.0
26-16	Legacy	7500.0
23-6	Legacy	7500.0
16-15	Legacy	4000.0
7-11	Legacy	7500.0
20-21	Legacy	7500.0
6-32	Legacy	7500.0
14-2	Legacy	11500.0
2-26	Legacy	7500.0
2-16	Legacy	7500.0
30-6	Legacy	7500.0
1-14	Legacy	4000.0
7-9	Legacy	12500.0
8-5	Legacy	7500.0
19-22	Legacy	11500.0
10-11	Legacy	12500.0
29-4	Legacy	7500.0
18-5	Legacy	7200.0
2-15	Legacy	7500.0
19-9	Legacy	7200.0
30-9	Legacy	7200.0
21-22	Legacy	7500.0
6-34	Legacy	7500.0
29-30	Legacy	7500.0
7-3	Legacy	7500.0
1-30	Legacy	7500.0
1-3	Legacy	7500.0
19-21	Legacy	7500.0
17-15	Legacy	5000.0
9-15	Legacy	7500.0
23-25	Legacy	7500.0
32-11	Legacy	7200.0
25-6	Legacy	7500.0
13-14	Legacy	11500.0
28-5	Legacy	7500.0
5-11	Legacy	7500.0
14-22	Legacy	7500.0
19-17	Legacy	4000.0
23-9	Legacy	7200.0
19-18	Legacy	7500.0
24-26	Legacy	7500.0
25-27	Legacy	7500.0
34-32	Legacy	7500.0
19-14	Legacy	11500.0
9-11	Legacy	7500.0
7-2	2016	0.0
7-2	2021	0.0
7-2	2026	0.0
7-2	2031	0.0
7-2	2036	0.0
7-3	2016	0.0
7-3	2021	0.0
7-3	2026	0.0
7-3	2031	0.0
7-3	2036	0.0
7-9	2016	0.0
7-9	2021	0.0
7-9	2026	0.0
7-9	2031	0.0
7-9	2036	0.0
7-5	2016	0.0
7-5	2021	0.0
7-5	2026	0.0
7-5	2031	0.0
7-5	2036	0.0
7-15	2016	0.0
7-15	2021	0.0
7-15	2026	0.0
7-15	2031	0.0
7-15	2036	0.0
7-11	2016	0.0
7-11	2021	0.0
7-11	2026	0.0
7-11	2031	0.0
7-11	2036	0.0
13-14	2016	0.0
13-14	2021	0.0
13-14	2026	0.0
13-14	2031	0.0
13-14	2036	0.0
13-17	2016	0.0
13-17	2021	0.0
13-17	2026	0.0
13-17	2031	0.0
13-17	2036	0.0
1-30	2016	0.0
1-30	2021	0.0
1-30	2026	0.0
1-30	2031	0.0
1-30	2036	0.0
1-14	2016	0.0
1-14	2021	0.0
1-14	2026	0.0
1-14	2031	0.0
1-14	2036	0.0
1-3	2016	0.0
1-3	2021	0.0
1-3	2026	0.0
1-3	2031	0.0
1-3	2036	0.0
1-4	2016	0.0
1-4	2021	0.0
1-4	2026	0.0
1-4	2031	0.0
1-4	2036	0.0
1-26	2016	0.0
1-26	2021	0.0
1-26	2026	0.0
1-26	2031	0.0
1-26	2036	0.0
1-6	2016	0.0
1-6	2021	0.0
1-6	2026	0.0
1-6	2031	0.0
1-6	2036	0.0
19-13	2016	0.0
19-13	2021	0.0
19-13	2026	0.0
19-13	2031	0.0
19-13	2036	0.0
19-14	2016	0.0
19-14	2021	0.0
19-14	2026	0.0
19-14	2031	0.0
19-14	2036	0.0
19-20	2016	0.0
19-20	2021	0.0
19-20	2026	0.0
19-20	2031	0.0
19-20	2036	0.0
19-9	2016	0.0
19-9	2021	0.0
19-9	2026	0.0
19-9	2031	0.0
19-9	2036	0.0
19-21	2016	0.0
19-21	2021	0.0
19-21	2026	0.0
19-21	2031	0.0
19-21	2036	0.0
19-22	2016	0.0
19-22	2021	0.0
19-22	2026	0.0
19-22	2031	0.0
19-22	2036	0.0
19-15	2016	0.0
19-15	2021	0.0
19-15	2026	0.0
19-15	2031	0.0
19-15	2036	0.0
19-17	2016	0.0
19-17	2021	0.0
19-17	2026	0.0
19-17	2031	0.0
19-17	2036	0.0
19-18	2016	0.0
19-18	2021	0.0
19-18	2026	0.0
19-18	2031	0.0
19-18	2036	0.0
8-28	2016	0.0
8-28	2021	0.0
8-28	2026	0.0
8-28	2031	0.0
8-28	2036	0.0
8-5	2016	0.0
8-5	2021	0.0
8-5	2026	0.0
8-5	2031	0.0
8-5	2036	0.0
8-11	2016	0.0
8-11	2021	0.0
8-11	2026	0.0
8-11	2031	0.0
8-11	2036	0.0
23-9	2016	0.0
23-9	2021	0.0
23-9	2026	0.0
23-9	2031	0.0
23-9	2036	0.0
23-24	2016	0.0
23-24	2021	0.0
23-24	2026	0.0
23-24	2031	0.0
23-24	2036	0.0
23-25	2016	0.0
23-25	2021	0.0
23-25	2026	0.0
23-25	2031	0.0
23-25	2036	0.0
23-26	2016	0.0
23-26	2021	0.0
23-26	2026	0.0
23-26	2031	0.0
23-26	2036	0.0
23-6	2016	0.0
23-6	2021	0.0
23-6	2026	0.0
23-6	2031	0.0
23-6	2036	0.0
23-18	2016	0.0
23-18	2021	0.0
23-18	2026	0.0
23-18	2031	0.0
23-18	2036	0.0
23-27	2016	0.0
23-27	2021	0.0
23-27	2026	0.0
23-27	2031	0.0
23-27	2036	0.0
28-29	2016	0.0
28-29	2021	0.0
28-29	2026	0.0
28-29	2031	0.0
28-29	2036	0.0
28-4	2016	0.0
28-4	2021	0.0
28-4	2026	0.0
28-4	2031	0.0
28-4	2036	0.0
28-5	2016	0.0
28-5	2021	0.0
28-5	2026	0.0
28-5	2031	0.0
28-5	2036	0.0
29-30	2016	0.0
29-30	2021	0.0
29-30	2026	0.0
29-30	2031	0.0
29-30	2036	0.0
29-4	2016	0.0
29-4	2021	0.0
29-4	2026	0.0
29-4	2031	0.0
29-4	2036	0.0
29-32	2016	0.0
29-32	2021	0.0
29-32	2026	0.0
29-32	2031	0.0
29-32	2036	0.0
30-4	2016	0.0
30-4	2021	0.0
30-4	2026	0.0
30-4	2031	0.0
30-4	2036	0.0
30-9	2016	0.0
30-9	2021	0.0
30-9	2026	0.0
30-9	2031	0.0
30-9	2036	0.0
30-6	2016	0.0
30-6	2021	0.0
30-6	2026	0.0
30-6	2031	0.0
30-6	2036	0.0
30-32	2016	0.0
30-32	2021	0.0
30-32	2026	0.0
30-32	2031	0.0
30-32	2036	0.0
14-7	2016	0.0
14-7	2021	0.0
14-7	2026	0.0
14-7	2031	0.0
14-7	2036	0.0
14-2	2016	0.0
14-2	2021	0.0
14-2	2026	0.0
14-2	2031	0.0
14-2	2036	0.0
14-22	2016	0.0
14-22	2021	0.0
14-22	2026	0.0
