GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
1201	116993	Gas	0.0
1201	206466	Gas	6325.072
1201	161517	Gas	6325.072
1201	116997	Gas	0.0
1201	206470	Gas	6325.072
1201	161645	Gas	6325.072
1201	161513	Gas	6325.072
1201	116909	Gas	0.0
1201	161641	Gas	6325.072
1201	251506	Gas	6325.072
1201	251286	Gas	6325.072
1201	161497	Gas	6325.072
1201	71065	Gas	0.0
1201	251290	Gas	6325.072
1201	71069	Gas	0.0
1201	251294	Gas	6325.072
1201	71073	Gas	0.0
1201	251298	Gas	6325.072
1201	71077	Gas	0.0
1201	251302	Gas	6325.072
1201	161649	Gas	0.0
1201	71081	Gas	0.0
1201	71085	Gas	0.0
1201	161501	Gas	6325.072
1201	116913	Gas	0.0
1201	116917	Gas	0.0
1201	116921	Gas	0.0
1201	116925	Gas	0.0
1201	161653	Gas	6325.072
1201	251510	Gas	6325.072
1201	161505	Gas	0.0
1201	251282	Gas	6325.072
1201	206162	Gas	6325.072
1201	251514	Gas	6325.072
1201	206166	Gas	6325.072
1201	161657	Gas	6325.072
1201	70873	Gas	0.0
1201	206170	Gas	6325.072
1201	70877	Gas	0.0
1201	206174	Gas	6325.072
1201	161509	Gas	6325.072
1201	70881	Gas	0.0
1201	206178	Gas	6325.072
1201	70885	Gas	0.0
1201	206182	Gas	6325.072
1201	251518	Gas	6325.072
1201	70889	Gas	0.0
1201	251498	Gas	6325.072
1201	70893	Gas	0.0
1201	251502	Gas	6325.072
1201	161661	Gas	6325.072
1201	116977	Gas	0.0
1201	206450	Gas	6325.072
1201	116981	Gas	0.0
1201	206454	Gas	6325.072
1201	116905	Gas	0.0
1201	116985	Gas	0.0
1201	206458	Gas	6325.072
1201	116989	Gas	0.0
1201	206462	Gas	6325.072
1202	116993	Gas	0.0
1202	206466	Gas	6325.072
1202	161517	Gas	6325.072
1202	116997	Gas	0.0
1202	206470	Gas	6325.072
1202	161645	Gas	6325.072
1202	161513	Gas	6325.072
1202	116909	Gas	0.0
1202	161641	Gas	6325.072
1202	251506	Gas	6325.072
1202	251286	Gas	6325.072
1202	161497	Gas	6325.072
1202	71065	Gas	0.0
1202	251290	Gas	6325.072
1202	71069	Gas	0.0
1202	251294	Gas	6325.072
1202	71073	Gas	0.0
1202	251298	Gas	6325.072
1202	71077	Gas	0.0
1202	251302	Gas	6325.072
1202	161649	Gas	6325.072
1202	71081	Gas	0.0
1202	71085	Gas	0.0
1202	161501	Gas	6325.072
