ZONE_TIMEPOINTS_1	ZONE_TIMEPOINTS_2	LoadZonePositive
Anhui	70873	0.0
Anhui	70877	0.0
Anhui	70881	0.0
Anhui	70885	0.0
Anhui	70889	0.0
Anhui	70893	0.0
Anhui	71065	0.0
Anhui	71069	0.0
Anhui	71073	0.0
Anhui	71077	0.0
Anhui	71081	0.0
Anhui	71085	0.0
Anhui	116905	0.0
Anhui	116909	0.0
Anhui	116913	0.0
Anhui	116917	0.0
Anhui	116921	0.0
Anhui	116925	0.0
Anhui	116977	0.0
Anhui	116981	0.0
Anhui	116985	0.0
Anhui	116989	0.0
Anhui	116993	0.0
Anhui	116997	0.0
Anhui	161497	0.0
Anhui	161501	0.0
Anhui	161505	0.0
Anhui	161509	0.0
Anhui	161513	0.0
Anhui	161517	0.0
Anhui	161641	0.0
Anhui	161645	0.0
Anhui	161649	0.0
Anhui	161653	0.0
Anhui	161657	0.0
Anhui	161661	0.0
Anhui	206162	0.0
Anhui	206166	0.0
Anhui	206170	0.0
Anhui	206174	0.0
Anhui	206178	0.0
Anhui	206182	0.0
Anhui	206450	0.0
Anhui	206454	0.0
Anhui	206458	0.0
Anhui	206462	0.0
Anhui	206466	0.0
Anhui	206470	0.0
Anhui	251282	0.0
Anhui	251286	0.0
Anhui	251290	0.0
Anhui	251294	0.0
Anhui	251298	0.0
Anhui	251302	0.0
Anhui	251498	0.0
Anhui	251502	0.0
Anhui	251506	0.0
Anhui	251510	0.0
Anhui	251514	0.0
Anhui	251518	0.0
Beijing	70873	0.0
Beijing	70877	0.0
Beijing	70881	0.0
Beijing	70885	0.0
Beijing	70889	0.0
Beijing	70893	0.0
Beijing	71065	0.0
Beijing	71069	0.0
Beijing	71073	0.0
Beijing	71077	0.0
Beijing	71081	0.0
Beijing	71085	0.0
Beijing	116905	0.0
Beijing	116909	0.0
Beijing	116913	0.0
Beijing	116917	0.0
Beijing	116921	0.0
Beijing	116925	0.0
Beijing	116977	0.0
Beijing	116981	0.0
Beijing	116985	0.0
Beijing	116989	0.0
Beijing	116993	0.0
Beijing	116997	0.0
Beijing	161497	0.0
Beijing	161501	0.0
Beijing	161505	0.0
Beijing	161509	0.0
Beijing	161513	0.0
Beijing	161517	0.0
Beijing	161641	0.0
Beijing	161645	0.0
Beijing	161649	0.0
Beijing	161653	0.0
Beijing	161657	0.0
Beijing	161661	0.0
Beijing	206162	0.0
Beijing	206166	0.0
Beijing	206170	0.0
Beijing	206174	0.0
Beijing	206178	0.0
Beijing	206182	0.0
Beijing	206450	0.0
Beijing	206454	0.0
Beijing	206458	0.0
Beijing	206462	0.0
Beijing	206466	0.0
Beijing	206470	0.0
Beijing	251282	0.0
Beijing	251286	0.0
Beijing	251290	0.0
Beijing	251294	0.0
Beijing	251298	0.0
Beijing	251302	0.0
Beijing	251498	0.0
Beijing	251502	0.0
Beijing	251506	0.0
Beijing	251510	0.0
Beijing	251514	0.0
Beijing	251518	0.0
Chongqing	70873	0.0
Chongqing	70877	0.0
Chongqing	70881	0.0
Chongqing	70885	0.0
Chongqing	70889	0.0
Chongqing	70893	0.0
Chongqing	71065	0.0
Chongqing	71069	0.0
Chongqing	71073	0.0
Chongqing	71077	0.0
Chongqing	71081	0.0
Chongqing	71085	0.0
Chongqing	116905	0.0
Chongqing	116909	0.0
Chongqing	116913	0.0
Chongqing	116917	0.0
Chongqing	116921	0.0
Chongqing	116925	0.0
Chongqing	116977	0.0
Chongqing	116981	0.0
Chongqing	116985	0.0
Chongqing	116989	0.0
Chongqing	116993	0.0
Chongqing	116997	0.0
Chongqing	161497	0.0
Chongqing	161501	0.0
Chongqing	161505	0.0
Chongqing	161509	0.0
Chongqing	161513	0.0
Chongqing	161517	0.0
Chongqing	161641	0.0
Chongqing	161645	0.0
Chongqing	161649	0.0
Chongqing	161653	0.0
Chongqing	161657	0.0
Chongqing	161661	0.0
Chongqing	206162	0.0
Chongqing	206166	0.0
Chongqing	206170	0.0
Chongqing	206174	0.0
Chongqing	206178	0.0
Chongqing	206182	0.0
Chongqing	206450	0.0
Chongqing	206454	0.0
Chongqing	206458	0.0
Chongqing	206462	0.0
Chongqing	206466	0.0
Chongqing	206470	0.0
Chongqing	251282	0.0
Chongqing	251286	0.0
Chongqing	251290	0.0
Chongqing	251294	0.0
Chongqing	251298	0.0
Chongqing	251302	0.0
Chongqing	251498	0.0
Chongqing	251502	0.0
Chongqing	251506	0.0
Chongqing	251510	0.0
Chongqing	251514	0.0
Chongqing	251518	0.0
East_Inner_Mongolia	70873	0.0
East_Inner_Mongolia	70877	0.0
East_Inner_Mongolia	70881	0.0
East_Inner_Mongolia	70885	0.0
East_Inner_Mongolia	70889	0.0
East_Inner_Mongolia	70893	0.0
East_Inner_Mongolia	71065	0.0
East_Inner_Mongolia	71069	0.0
East_Inner_Mongolia	71073	0.0
East_Inner_Mongolia	71077	0.0
East_Inner_Mongolia	71081	0.0
East_Inner_Mongolia	71085	0.0
East_Inner_Mongolia	116905	0.0
East_Inner_Mongolia	116909	0.0
East_Inner_Mongolia	116913	0.0
East_Inner_Mongolia	116917	0.0
East_Inner_Mongolia	116921	0.0
East_Inner_Mongolia	116925	0.0
East_Inner_Mongolia	116977	0.0
East_Inner_Mongolia	116981	0.0
East_Inner_Mongolia	116985	0.0
East_Inner_Mongolia	116989	0.0
East_Inner_Mongolia	116993	0.0
East_Inner_Mongolia	116997	0.0
