gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Battery_Storage,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Electricity,2026,291883.1999999995,116753280.0,0.0
Battery_Storage,Electricity,2031,300467.99999999977,120187200.0,0.0
Battery_Storage,Electricity,2036,300467.99999999977,120187200.0,0.0
CCGT,Gas,2016,0.0,0.0,0.0
CCGT,Gas,2021,0.0,0.0,0.0
CCGT,Gas,2026,274644.694694264,466895980.9802553,94285029.32809104
CCGT,Gas,2031,298513.9749253636,507473757.37312686,102479310.26672335
CCGT,Gas,2036,299434.31879994203,509038341.9599104,102795262.66224717
CCGT_CCS,Gas_CCS,2016,0.0,0.0,0.0
CCGT_CCS,Gas_CCS,2021,0.0,0.0,0.0
CCGT_CCS,Gas_CCS,2026,86360.67456022643,345442698.24090534,5172268.181406946
CCGT_CCS,Gas_CCS,2031,87829.56311042175,351318252.44168663,5260242.083288755
CCGT_CCS,Gas_CCS,2036,97072.99596917126,388291983.8766846,5813844.911262732
CCGT_EP,Gas,2016,26574.44492545035,45176556.37326557,9692504.142374752
CCGT_EP,Gas,2021,70726.36354217456,120234818.02169667,25282757.957098205
CCGT_EP,Gas,2026,183699.99646881627,312289993.9969883,65338202.77104052
CCGT_EP,Gas,2031,0.0,0.0,0.0
CCGT_EP,Gas,2036,0.0,0.0,0.0
CSP_Trough_6h_Storage,Solar,2016,0.0,0.0,0.0
CSP_Trough_6h_Storage,Solar,2021,0.0,0.0,0.0
CSP_Trough_6h_Storage,Solar,2026,0.0,0.0,0.0
CSP_Trough_6h_Storage,Solar,2031,0.0,0.0,0.0
CSP_Trough_6h_Storage,Solar,2036,0.0,0.0,0.0
CSP_Trough_No_Storage,Solar,2016,0.0,0.0,0.0
CSP_Trough_No_Storage,Solar,2021,0.0,0.0,0.0
CSP_Trough_No_Storage,Solar,2026,0.0,0.0,0.0
CSP_Trough_No_Storage,Solar,2031,0.0,0.0,0.0
CSP_Trough_No_Storage,Solar,2036,0.0,0.0,0.0
Central_PV,Solar,2016,0.0,0.0,0.0
Central_PV,Solar,2021,0.0,0.0,0.0
Central_PV,Solar,2026,385481.1026875833,0.0,0.0
Central_PV,Solar,2031,342472.730778385,0.0,0.0
Central_PV,Solar,2036,397661.0013270773,0.0,0.0
Coal_IGCC,Coal,2016,0.0,0.0,0.0
Coal_IGCC,Coal,2021,0.0,0.0,0.0
Coal_IGCC,Coal,2026,159684.2854768336,479052856.4305009,132701473.6540996
Coal_IGCC,Coal,2031,146005.56072482606,438016682.1744782,121334125.09578736
Coal_IGCC,Coal,2036,183078.85922794917,549236577.6838473,152142925.91104642
Coal_IGCC_CCS,Coal_CCS,2016,0.0,0.0,0.0
Coal_IGCC_CCS,Coal_CCS,2021,0.0,0.0,0.0
Coal_IGCC_CCS,Coal_CCS,2026,161935.7628748095,485807288.6244286,24826307.032031953
Coal_IGCC_CCS,Coal_CCS,2031,151103.93392456576,453311801.77369726,23165683.66840164
Coal_IGCC_CCS,Coal_CCS,2036,192536.7767632104,577610330.2896311,29517736.230857186
Coal_Steam_Turbine,Coal,2016,0.0,0.0,0.0
Coal_Steam_Turbine,Coal,2021,70205.69036856417,56164552.29485134,59013218.38724622
Coal_Steam_Turbine,Coal,2026,291270.0,233016000.0,244834571.52000007
Coal_Steam_Turbine,Coal,2031,291270.0,233016000.0,244834571.52000007
Coal_Steam_Turbine,Coal,2036,291270.0,233016000.0,244834571.52000007
Coal_Steam_Turbine_CCS,Coal_CCS,2016,0.0,0.0,0.0
Coal_Steam_Turbine_CCS,Coal_CCS,2021,0.0,0.0,0.0
Coal_Steam_Turbine_CCS,Coal_CCS,2026,280532.3537809986,448851766.0495978,48233610.77968946
Coal_Steam_Turbine_CCS,Coal_CCS,2031,283474.816513933,453559706.42229295,48739526.0521393
Coal_Steam_Turbine_CCS,Coal_CCS,2036,291270.0,466032000.0,50079798.71999963
Coal_Steam_Turbine_EP,Coal,2016,5378558.661489426,4302846929.191561,4523463603.194544
Coal_Steam_Turbine_EP,Coal,2021,5626907.00239905,4501525601.919265,4733388085.453304
Coal_Steam_Turbine_EP,Coal,2026,5923905.390647438,4739124312.518028,4981601555.427434
Coal_Steam_Turbine_EP,Coal,2031,5515673.919942662,4412539135.954179,4628228480.645068
Coal_Steam_Turbine_EP,Coal,2036,4932494.226169515,3945995380.935608,4124318530.9473996
Commercial_PV,Solar,2016,0.0,0.0,0.0
Commercial_PV,Solar,2021,0.0,0.0,0.0
Commercial_PV,Solar,2026,0.0,0.0,0.0
Commercial_PV,Solar,2031,0.0,0.0,0.0
Commercial_PV,Solar,2036,42337.60309472371,0.0,0.0
Gas_Combustion_Turbine,Gas,2016,0.0,0.0,0.0
Gas_Combustion_Turbine,Gas,2021,43491.77363843437,130475320.91530313,19730608.504133053
Gas_Combustion_Turbine,Gas,2026,167008.23983135493,501024719.49406654,75765459.10661219
Gas_Combustion_Turbine,Gas,2031,158944.84302204865,476834529.06614757,72107394.31991184
Gas_Combustion_Turbine,Gas,2036,192302.64500469342,576907935.0140826,87240594.84076475
Gas_Combustion_Turbine_CCS,Gas_CCS,2016,0.0,0.0,0.0
Gas_Combustion_Turbine_CCS,Gas_CCS,2021,0.0,0.0,0.0
Gas_Combustion_Turbine_CCS,Gas_CCS,2026,164359.68475355452,493079054.26066536,13008347.880585345
Gas_Combustion_Turbine_CCS,Gas_CCS,2031,155366.92199999947,466100766.0,12296610.166551521
Gas_Combustion_Turbine_CCS,Gas_CCS,2036,190647.85383693638,571943561.5108114,15088941.117868772
Hydro_NonPumped,Water,2016,1718005.9521881726,0.0,0.0
Hydro_NonPumped,Water,2021,1634298.1301013588,0.0,0.0
Hydro_NonPumped,Water,2026,1490093.9443802391,0.0,0.0
Hydro_NonPumped,Water,2031,1271697.179301535,0.0,0.0
Hydro_NonPumped,Water,2036,859095.7124549003,0.0,0.0
Hydro_Pumped,Water,2016,241893.86507929588,0.0,0.0
Hydro_Pumped,Water,2021,241893.86507929588,0.0,0.0
Hydro_Pumped,Water,2026,229656.77579929586,0.0,0.0
Hydro_Pumped,Water,2031,195406.22699929593,0.0,0.0
Hydro_Pumped,Water,2036,181107.45419929593,0.0,0.0
Nuclear,Uranium,2016,0.0,0.0,0.0
Nuclear,Uranium,2021,0.0,0.0,0.0
Nuclear,Uranium,2026,325265.9447013793,975797834.1041377,0.0
Nuclear,Uranium,2031,2169394.7200928926,6508184160.278676,0.0
Nuclear,Uranium,2036,4034188.857456031,12102566572.368143,0.0
Nuclear_EP,Uranium,2016,2951.270722131303,8853812.166393911,0.0
Nuclear_EP,Uranium,2021,246219.2279027698,738657683.7083135,0.0
Nuclear_EP,Uranium,2026,246219.2279027698,738657683.7083135,0.0
Nuclear_EP,Uranium,2031,246219.2279027698,738657683.7083135,0.0
Nuclear_EP,Uranium,2036,246219.2279027698,738657683.7083135,0.0
Nuclear_SMR,Uranium,2016,0.0,0.0,0.0
Nuclear_SMR,Uranium,2021,0.0,0.0,0.0
Nuclear_SMR,Uranium,2026,0.0,0.0,0.0
Nuclear_SMR,Uranium,2031,0.0,0.0,0.0
Nuclear_SMR,Uranium,2036,0.0,0.0,0.0
Residential_PV,Solar,2016,0.0,0.0,0.0
Residential_PV,Solar,2021,0.0,0.0,0.0
Residential_PV,Solar,2026,0.0,0.0,0.0
Residential_PV,Solar,2031,0.0,0.0,0.0
Residential_PV,Solar,2036,0.0,0.0,0.0
Wind,Wind,2016,0.0,0.0,0.0
Wind,Wind,2021,0.0,0.0,0.0
Wind,Wind,2026,0.0,0.0,0.0
Wind,Wind,2031,376335.66235901683,1053739854.6052474,0.0
Wind,Wind,2036,1099271.1645873964,3077959260.8447104,0.0
Wind_EP,Wind,2016,12.693732092999792,35542.449860399414,0.0
Wind_EP,Wind,2021,23630.418537363104,66165171.904616416,0.0
Wind_EP,Wind,2026,40424.58420215633,113188835.76603942,0.0
Wind_EP,Wind,2031,37633.301962092984,105373245.49386013,0.0
Wind_EP,Wind,2036,58303.88694701271,163250883.45163494,0.0
