gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Battery_Storage,Anhui,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Anhui,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Anhui,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,Anhui,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,Anhui,Electricity,2036,8584.799999999997,3433920.0,0.0
Battery_Storage,Beijing,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Beijing,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Beijing,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,Beijing,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,Beijing,Electricity,2036,8584.799999999997,3433920.0,0.0
Battery_Storage,Chongqing,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Chongqing,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Chongqing,Electricity,2026,34339.200000000026,13735680.0,0.0
Battery_Storage,Chongqing,Electricity,2031,34339.200000000026,13735680.0,0.0
Battery_Storage,Chongqing,Electricity,2036,34339.200000000026,13735680.0,0.0
Battery_Storage,East_Inner_Mongolia,Electricity,2016,0.0,0.0,0.0
Battery_Storage,East_Inner_Mongolia,Electricity,2021,0.0,0.0,0.0
Battery_Storage,East_Inner_Mongolia,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,East_Inner_Mongolia,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,East_Inner_Mongolia,Electricity,2036,8584.799999999997,3433920.0,0.0
Battery_Storage,Fujian,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Fujian,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Fujian,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,Fujian,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,Fujian,Electricity,2036,8584.799999999997,3433920.0,0.0
Battery_Storage,Gansu,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Gansu,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Gansu,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,Gansu,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,Gansu,Electricity,2036,8584.799999999997,3433920.0,0.0
Battery_Storage,Guangdong,Electricity,2016,0.0,0.0,0.0
Battery_Storage,Guangdong,Electricity,2021,0.0,0.0,0.0
Battery_Storage,Guangdong,Electricity,2026,8584.799999999997,3433920.0,0.0
Battery_Storage,Guangdong,Electricity,2031,8584.799999999997,3433920.0,0.0
Battery_Storage,Guangdong,Electricity,2036,8584.799999999997,3433920.0,0.0
