GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
2	2016	Commercial_PV	Anhui	Solar	0	0	0
2	2021	Commercial_PV	Anhui	Solar	0	0	0
2	2026	Commercial_PV	Anhui	Solar	0	0	0
2	2031	Commercial_PV	Anhui	Solar	0	0	0
2	2036	Commercial_PV	Anhui	Solar	0	0	0
3	2016	Commercial_PV	Anhui	Solar	0	0	0
3	2021	Commercial_PV	Anhui	Solar	0	0	0
3	2026	Commercial_PV	Anhui	Solar	0	0	0
3	2031	Commercial_PV	Anhui	Solar	0	0	0
3	2036	Commercial_PV	Anhui	Solar	0	0	0
4	2016	Commercial_PV	Anhui	Solar	0	0	0
4	2021	Commercial_PV	Anhui	Solar	0	0	0
4	2026	Commercial_PV	Anhui	Solar	0	0	0
4	2031	Commercial_PV	Anhui	Solar	0	0	0
4	2036	Commercial_PV	Anhui	Solar	0	0	0
5	2016	Commercial_PV	Beijing	Solar	0	0	0
5	2021	Commercial_PV	Beijing	Solar	0	0	0
5	2026	Commercial_PV	Beijing	Solar	0	0	0
5	2031	Commercial_PV	Beijing	Solar	0	0	0
5	2036	Commercial_PV	Beijing	Solar	0	0	0
6	2016	Commercial_PV	Chongqing	Solar	0	0	0
6	2021	Commercial_PV	Chongqing	Solar	0	0	0
6	2026	Commercial_PV	Chongqing	Solar	0	0	0
6	2031	Commercial_PV	Chongqing	Solar	0	0	0
6	2036	Commercial_PV	Chongqing	Solar	0	0	0
7	2016	Commercial_PV	Fujian	Solar	0	0	0
7	2021	Commercial_PV	Fujian	Solar	0	0	0
7	2026	Commercial_PV	Fujian	Solar	0	0	0
7	2031	Commercial_PV	Fujian	Solar	0	0	0
7	2036	Commercial_PV	Fujian	Solar	0	0	0
8	2016	Commercial_PV	Fujian	Solar	0	0	0
8	2021	Commercial_PV	Fujian	Solar	0	0	0
8	2026	Commercial_PV	Fujian	Solar	0	0	0
8	2031	Commercial_PV	Fujian	Solar	0	0	0
8	2036	Commercial_PV	Fujian	Solar	0	0	0
9	2016	Commercial_PV	Fujian	Solar	0	0	0
9	2021	Commercial_PV	Fujian	Solar	0	0	0
9	2026	Commercial_PV	Fujian	Solar	0	0	0
9	2031	Commercial_PV	Fujian	Solar	0	0	0
9	2036	Commercial_PV	Fujian	Solar	0	0	0
10	2016	Commercial_PV	Fujian	Solar	0	0	0
10	2021	Commercial_PV	Fujian	Solar	0	0	0
10	2026	Commercial_PV	Fujian	Solar	0	0	0
10	2031	Commercial_PV	Fujian	Solar	0	0	0
10	2036	Commercial_PV	Fujian	Solar	0	0	0
11	2016	Commercial_PV	Fujian	Solar	0	0	0
11	2021	Commercial_PV	Fujian	Solar	0	0	0
11	2026	Commercial_PV	Fujian	Solar	0	0	0
11	2031	Commercial_PV	Fujian	Solar	0	0	0
11	2036	Commercial_PV	Fujian	Solar	0	0	0
12	2016	Commercial_PV	Gansu	Solar	0	0	0
12	2021	Commercial_PV	Gansu	Solar	0	0	0
12	2026	Commercial_PV	Gansu	Solar	0	0	0
12	2031	Commercial_PV	Gansu	Solar	0	0	0
12	2036	Commercial_PV	Gansu	Solar	0	0	0
13	2016	Commercial_PV	Gansu	Solar	0	0	0
13	2021	Commercial_PV	Gansu	Solar	0	0	0
13	2026	Commercial_PV	Gansu	Solar	0	0	0
13	2031	Commercial_PV	Gansu	Solar	0	0	0
13	2036	Commercial_PV	Gansu	Solar	0	0	0
14	2016	Commercial_PV	Gansu	Solar	0	0	0
14	2021	Commercial_PV	Gansu	Solar	0	0	0
14	2026	Commercial_PV	Gansu	Solar	0	0	0
14	2031	Commercial_PV	Gansu	Solar	0	0	0
14	2036	Commercial_PV	Gansu	Solar	0	0	0
15	2016	Commercial_PV	Gansu	Solar	0	0	0
15	2021	Commercial_PV	Gansu	Solar	0	0	0
15	2026	Commercial_PV	Gansu	Solar	0	0	0
15	2031	Commercial_PV	Gansu	Solar	0	0	0
15	2036	Commercial_PV	Gansu	Solar	0	0	0
16	2016	Commercial_PV	Guangdong	Solar	0	0	0
16	2021	Commercial_PV	Guangdong	Solar	0	0	0
16	2026	Commercial_PV	Guangdong	Solar	0	0	0
16	2031	Commercial_PV	Guangdong	Solar	0	0	0
16	2036	Commercial_PV	Guangdong	Solar	0	0	0
17	2016	Commercial_PV	Guangdong	Solar	0	0	0
17	2021	Commercial_PV	Guangdong	Solar	0	0	0
17	2026	Commercial_PV	Guangdong	Solar	0	0	0
17	2031	Commercial_PV	Guangdong	Solar	0	0	0
17	2036	Commercial_PV	Guangdong	Solar	0	0	0
18	2016	Commercial_PV	Guangdong	Solar	0	0	0
18	2021	Commercial_PV	Guangdong	Solar	0	0	0
18	2026	Commercial_PV	Guangdong	Solar	0	0	0
18	2031	Commercial_PV	Guangdong	Solar	0	0	0
18	2036	Commercial_PV	Guangdong	Solar	0	0	0
19	2016	Commercial_PV	Guangdong	Solar	0	0	0
19	2021	Commercial_PV	Guangdong	Solar	0	0	0
19	2026	Commercial_PV	Guangdong	Solar	0	0	0
19	2031	Commercial_PV	Guangdong	Solar	0	0	0
19	2036	Commercial_PV	Guangdong	Solar	0	0	0
20	2016	Commercial_PV	Guangdong	Solar	0	0	0
20	2021	Commercial_PV	Guangdong	Solar	0	0	0
20	2026	Commercial_PV	Guangdong	Solar	0	0	0
20	2031	Commercial_PV	Guangdong	Solar	0	0	0
20	2036	Commercial_PV	Guangdong	Solar	0	0	0
21	2016	Commercial_PV	Guangdong	Solar	0	0	0
21	2021	Commercial_PV	Guangdong	Solar	0	0	0
21	2026	Commercial_PV	Guangdong	Solar	0	0	0
21	2031	Commercial_PV	Guangdong	Solar	0	0	0
21	2036	Commercial_PV	Guangdong	Solar	0	0	0
22	2016	Commercial_PV	Guangdong	Solar	0	0	0
22	2021	Commercial_PV	Guangdong	Solar	0	0	0
22	2026	Commercial_PV	Guangdong	Solar	0	0	0
22	2031	Commercial_PV	Guangdong	Solar	0	0	0
22	2036	Commercial_PV	Guangdong	Solar	0	0	0
23	2016	Commercial_PV	Guangxi	Solar	0	0	0
23	2021	Commercial_PV	Guangxi	Solar	0	0	0
23	2026	Commercial_PV	Guangxi	Solar	0	0	0
23	2031	Commercial_PV	Guangxi	Solar	0	0	0
23	2036	Commercial_PV	Guangxi	Solar	0	0	0
24	2016	Commercial_PV	Guangxi	Solar	0	0	0
24	2021	Commercial_PV	Guangxi	Solar	0	0	0
24	2026	Commercial_PV	Guangxi	Solar	0	0	0
24	2031	Commercial_PV	Guangxi	Solar	0	0	0
24	2036	Commercial_PV	Guangxi	Solar	0	0	0
25	2016	Commercial_PV	Guangxi	Solar	0	0	0
25	2021	Commercial_PV	Guangxi	Solar	0	0	0
25	2026	Commercial_PV	Guangxi	Solar	0	0	0
25	2031	Commercial_PV	Guangxi	Solar	0	0	0
25	2036	Commercial_PV	Guangxi	Solar	0	0	0
26	2016	Commercial_PV	Guangxi	Solar	0	0	0
26	2021	Commercial_PV	Guangxi	Solar	0	0	0
26	2026	Commercial_PV	Guangxi	Solar	0	0	0
26	2031	Commercial_PV	Guangxi	Solar	0	0	0
26	2036	Commercial_PV	Guangxi	Solar	0	0	0
27	2016	Commercial_PV	Guangxi	Solar	0	0	0
27	2021	Commercial_PV	Guangxi	Solar	0	0	0
27	2026	Commercial_PV	Guangxi	Solar	0	0	0
27	2031	Commercial_PV	Guangxi	Solar	0	0	0
27	2036	Commercial_PV	Guangxi	Solar	0	0	0
28	2016	Commercial_PV	Guangxi	Solar	0	0	0
28	2021	Commercial_PV	Guangxi	Solar	0	0	0
28	2026	Commercial_PV	Guangxi	Solar	0	0	0
28	2031	Commercial_PV	Guangxi	Solar	0	0	0
28	2036	Commercial_PV	Guangxi	Solar	0	0	0
29	2016	Commercial_PV	Guizhou	Solar	0	0	0
29	2021	Commercial_PV	Guizhou	Solar	0	0	0
29	2026	Commercial_PV	Guizhou	Solar	0	0	0
29	2031	Commercial_PV	Guizhou	Solar	0	0	0
29	2036	Commercial_PV	Guizhou	Solar	0	0	0
30	2016	Commercial_PV	Guizhou	Solar	0	0	0
30	2021	Commercial_PV	Guizhou	Solar	0	0	0
30	2026	Commercial_PV	Guizhou	Solar	0	0	0
30	2031	Commercial_PV	Guizhou	Solar	0	0	0
30	2036	Commercial_PV	Guizhou	Solar	0	0	0
31	2016	Commercial_PV	Guizhou	Solar	0	0	0
31	2021	Commercial_PV	Guizhou	Solar	0	0	0
31	2026	Commercial_PV	Guizhou	Solar	0	0	0
31	2031	Commercial_PV	Guizhou	Solar	0	0	0
31	2036	Commercial_PV	Guizhou	Solar	0	0	0
32	2016	Commercial_PV	Guizhou	Solar	0	0	0
32	2021	Commercial_PV	Guizhou	Solar	0	0	0
32	2026	Commercial_PV	Guizhou	Solar	0	0	0
32	2031	Commercial_PV	Guizhou	Solar	0	0	0
32	2036	Commercial_PV	Guizhou	Solar	0	0	0
33	2016	Commercial_PV	Guizhou	Solar	0	0	0
33	2021	Commercial_PV	Guizhou	Solar	0	0	0
33	2026	Commercial_PV	Guizhou	Solar	0	0	0
33	2031	Commercial_PV	Guizhou	Solar	0	0	0
33	2036	Commercial_PV	Guizhou	Solar	0	0	0
34	2016	Commercial_PV	Hainan	Solar	0	0	0
34	2021	Commercial_PV	Hainan	Solar	0	0	0
34	2026	Commercial_PV	Hainan	Solar	0	0	0
34	2031	Commercial_PV	Hainan	Solar	0	0	0
34	2036	Commercial_PV	Hainan	Solar	0	0	0
35	2016	Commercial_PV	Hainan	Solar	0	0	0
35	2021	Commercial_PV	Hainan	Solar	0	0	0
35	2026	Commercial_PV	Hainan	Solar	0	0	0
35	2031	Commercial_PV	Hainan	Solar	0	0	0
35	2036	Commercial_PV	Hainan	Solar	0	0	0
36	2016	Commercial_PV	Hebei	Solar	0	0	0
36	2021	Commercial_PV	Hebei	Solar	0	0	0
36	2026	Commercial_PV	Hebei	Solar	0	0	0
36	2031	Commercial_PV	Hebei	Solar	0	0	0
